ae,mae,mse,rmse,algorithm
911.9671043478261,557.8056000000001,1844883.6336740176,1358.2649350086372,baseline
954.9832971014494,746.3813,1660227.595768641,1288.4981939330148,baseline
1128.5713666666663,1089.9525666666664,1759033.0538459865,1326.2854345298324,baseline
934.5581521739134,652.4256333333335,1708348.6239188977,1307.0381111195256,baseline
1057.1620661835748,922.3663666666666,1653776.6125420108,1285.9924620859995,baseline
1045.1528077294683,888.4779333333331,1639852.5510930025,1280.5672770663018,baseline
1053.3782439613528,917.3841666666672,1649522.3157542795,1284.3373060665488,baseline
933.3099565217391,646.6839333333332,1711861.7677664547,1308.3813541037853,baseline
1076.25831884058,956.2636666666663,1675961.9913509565,1294.5895068904879,baseline
965.2528405797099,741.3078,1642702.9241437935,1281.679727601164,baseline
1095.5021318840577,1005.4422999999997,1702364.310194658,1304.7468375875292,baseline
923.793002415459,594.1641666666669,1747056.6404171777,1321.7627020071257,baseline
1024.423055072464,912.0637999999994,1622512.6222927098,1273.778874959351,baseline
965.038188405797,742.2952,1643023.5519992167,1281.8048026120111,baseline
982.1822463768118,796.5484666666669,1623556.7717939762,1274.1886719767901,baseline
1073.877531884058,950.1794333333332,1673031.8076564004,1293.4573080146095,baseline
1052.7622995169086,915.5363333333339,1648854.17584286,1284.0771689594283,baseline
1041.911049758454,876.7052333333336,1636393.2273984002,1279.2158642693578,baseline
1027.7456685990337,899.9974666666665,1624529.1287881176,1274.5701741324867,baseline
1060.135788405797,914.4068000000002,1657300.93829742,1287.3620074778578,baseline
1034.06496763285,877.0484333333334,1629167.9036697375,1276.388617807969,baseline
950.4339637681161,725.4543666666666,1669417.421066774,1292.059372113671,baseline
977.2182681159419,773.7141666666673,1627913.9144015547,1275.8972977483552,baseline
992.0374541062804,840.4543333333338,1618109.1286071644,1272.049184822334,baseline
1033.3276391304346,879.7260999999999,1628572.3768189088,1276.1553106181507,baseline
1150.8959971014494,1147.0044000000007,1805365.7974849865,1343.639013085355,baseline
948.3374492753624,715.8104000000001,1673947.284330954,1293.8111470886909,baseline
1052.0797772946858,913.4887666666664,1648121.7924077841,1283.7919583825817,baseline
1018.2969043478262,915.2886000000005,1619558.0413176673,1272.6185765254518,baseline
988.0472101449275,823.5273000000002,1619752.6874393017,1272.6950488782857,baseline
1005.3153608695653,871.1651000000002,1616568.5125829782,1271.443475968546,baseline
1052.0803439613528,913.4904666666666,1648122.3969939386,1283.7921938514576,baseline
987.5740362318841,821.3507,1620005.6090532902,1272.7944095781102,baseline
