ae,mae,mse,rmse,algorithm
438.6592285024156,257.0079666666667,447265.9648405306,668.7794590450058,baseline
458.7962898550725,354.85473333333334,403354.79693171557,635.1021940851059,baseline
545.7318739130435,514.3449000000002,426557.5302004624,653.1137191947987,baseline
450.3283676328503,317.2415666666665,413531.934193181,643.064486807646,baseline
512.8072,441.87406666666664,403016.09971299476,634.8354902752325,baseline
501.56079613526566,439.99873333333335,398156.265698046,630.9962485609926,baseline
511.8510739130435,441.2643666666668,402544.0240620977,634.4635718952647,baseline
448.63945169082126,307.2728333333332,416456.88543684914,645.3347080677198,baseline
525.0254695652176,461.42853333333335,410099.98423851735,640.3904935572649,baseline
464.21787681159424,379.7940333333331,399011.9130963412,631.6738977481507,baseline
531.2213434782609,477.26243333333343,414437.33341730473,643.7680742451467,baseline
443.4511869565217,273.2794333333334,427925.39723365253,654.1600700391706,baseline
491.55550628019324,425.8882666666668,394489.4995837417,628.0839908672579,baseline
464.39327536231895,380.6008666666669,398892.18546212406,631.5791205083683,baseline
468.65468115942036,390.4273333333333,396383.40831168613,629.5898731012802,baseline
517.0971869565218,441.1673666666669,405281.2107446003,636.617004756078,baseline
509.1502,448.16660000000024,401275.00632012816,633.4627110731366,baseline
498.052157004831,427.25683333333336,396569.78906910995,629.7378733005582,baseline
499.0402487922705,430.8451666666665,396983.7215208007,630.0664421478109,baseline
512.3982086956522,440.8288666666666,402812.7037869357,634.6752742835786,baseline
500.98427004830927,437.9050333333337,397873.2878239587,630.7719776781137,baseline
456.4133695652174,348.4633000000001,405657.12426792766,636.9121793998978,baseline
469.83997101449273,395.8796666666667,395822.21094144933,629.1440303630396,baseline
476.61671497584547,422.65633333333335,393929.1293251208,627.6377373335042,baseline
496.9454850241546,423.23786666666683,396136.7543631705,629.3939579970327,baseline
561.3613260869566,554.2868333333334,442688.8311170231,665.3486538026684,baseline
453.40904734299517,333.59286666666685,409164.6246927212,639.659772607846,baseline
512.4628391304348,440.99403333333305,402844.6998690542,634.7004804386509,baseline
489.80913091787414,432.2303666666669,394120.1455789324,627.7898896756242,baseline
475.28316280193235,417.81343333333325,394165.29412269604,627.8258469692818,baseline
