ae,mae,mse,rmse,algorithm
950.3697183574877,633.7546333333335,1394701.610879234,1180.9748561587728,baseline
944.5750743961353,614.5687333333332,1427399.7595283343,1194.7383644666033,baseline
1117.1977463768114,1253.0798333333332,1485816.8422898732,1218.940869070306,baseline
969.0154053140096,782.3275666666666,1333765.2614973453,1154.887553616085,baseline
997.8053618357487,958.3113666666666,1338733.030142556,1157.0363132341854,baseline
966.7570666666666,760.0667999999996,1337549.948228779,1156.5249449228404,baseline
989.1540652173913,926.8935000000001,1333304.1958995543,1154.6879214313944,baseline
951.2217772946859,628.4552333333329,1390443.8660891638,1179.1708383814298,baseline
969.614185990338,788.2298333333333,1332928.0074007427,1154.525013761392,baseline
971.6781714975845,808.5748333333331,1330576.0092278444,1153.5059641058838,baseline
1008.1295386473429,992.3078333333333,1346831.288459786,1160.5306064295703,baseline
961.6278927536233,709.5078000000003,1349827.4822685968,1161.820761679097,baseline
971.2795130434782,804.6452000000002,1330965.790907921,1153.674906942125,baseline
940.0345734299515,569.8123666666664,1457580.5564335822,1207.3030093698856,baseline
958.0031236714976,695.2999333333332,1361587.0618967891,1166.8706277461906,baseline
1111.6528376811593,1241.4859333333334,1476748.6109154327,1215.2154586390977,baseline
1090.8167541062803,1193.1789666666668,1441858.685738921,1200.7742026454937,baseline
1046.9557811594202,1088.8200999999997,1382417.055599494,1175.7623295545295,baseline
959.3297826086957,708.3769999999997,1356986.8448165946,1164.8977829906771,baseline
1075.4191690821256,1156.5433333333333,1418510.3598020289,1191.0123256297682,baseline
968.8106164251207,780.3089333333332,1334067.6000375398,1155.018441427469,baseline
970.5148154589372,797.1074666666664,1331799.8992182708,1154.0363509085278,baseline
971.258895169082,804.4419666666668,1330986.7896283297,1153.6840077024253,baseline
1037.4659024154587,1066.2407333333335,1372422.2886365224,1171.5042845147952,baseline
1066.7216768115943,1135.8493,1406508.187652826,1185.9629790397448,baseline
1037.2131120772945,1065.6392666666663,1372169.9916404951,1171.3965987830488,baseline
961.5038811594203,708.2853999999998,1350187.6223055315,1161.9757408420933,baseline
1008.0752942028987,992.1451,1346787.0180677546,1160.5115329318164,baseline
999.6463516908212,964.997066666667,1340143.0312790433,1157.64546873343,baseline
965.3110391304348,745.8131000000001,1340493.7716861083,1157.796947519775,baseline
997.4166787439616,956.8998333333334,1338446.7700205978,1156.9126025852593,baseline
975.5376874396134,846.6186333333335,1328399.2605416721,1152.5620419490103,baseline
952.2235246376808,638.3295999999998,1385618.5638380267,1177.123002849756,baseline
973.3099932367152,824.6599333333334,1329302.461621102,1152.9537985631089,baseline
954.2237526570049,658.0461333333333,1376567.1244612662,1173.271973781555,baseline
939.9622908212563,569.0998666666663,1458093.41688581,1207.5153899167537,baseline
956.68501352657,682.3071333333335,1366496.35642804,1168.9723505832121,baseline
1097.1380396135266,1208.2192666666665,1452221.2697973647,1205.081436998083,baseline
964.1666304347824,734.5325,1343111.6016074093,1158.9269181477362,baseline
1044.738149758454,1083.5436666666665,1379990.142201483,1174.7298166818969,baseline
1049.4358135265704,1094.720866666667,1385197.0872797577,1176.9439609767994,baseline
1046.5213275362319,1087.7864,1381937.216066954,1175.5582571982359,baseline
946.0966444444446,629.5670666666664,1418182.075177122,1190.8745001792263,baseline
944.1533734299516,610.4119666666667,1430034.0508651815,1195.8403116073573,baseline
