ae,mae,mse,rmse,algorithm
444.70642463768115,290.81723333333326,339029.1507408448,582.2620979772295,baseline
444.6314652173913,329.9938999999998,311225.73483582446,557.8760927265341,baseline
501.1428227053141,559.6125666666669,322795.5052976178,568.1509529144678,baseline
444.7977714975845,339.7722333333334,308275.82729901286,555.225924555953,baseline
471.5066227053141,455.0873666666668,297346.2103020977,545.2946087227507,baseline
484.5615502415459,499.3963666666668,305701.9305091412,552.9031836670333,baseline
455.1619101449275,402.13020000000006,293638.58079415595,541.8842872737278,baseline
444.93529371980685,349.2612666666668,306035.41530198505,553.2046775850554,baseline
469.69281111111127,448.50036666666693,296540.9704013847,544.5557550897655,baseline
444.8657492753623,344.4627000000001,307145.8752802928,554.20742983137,baseline
490.5449164251208,521.1254333333336,311033.87193359254,557.7041078686731,baseline
446.2252381642512,376.8976333333333,300536.3311027046,548.2119399490534,baseline
486.2599207729469,505.56413333333325,307119.41652184,554.1835585091279,baseline
444.6926400966184,332.51816666666656,310110.0071640665,556.8752168700512,baseline
458.0519183574879,416.0830333333332,293205.0429117132,541.4841114120646,baseline
474.88317053140094,467.3495666666665,299076.358099809,546.8787416784538,baseline
475.58754734299526,469.9075666666668,299475.191828383,547.2432656765938,baseline
478.2282536231885,479.4975,301086.9159963369,548.7138744339685,baseline
452.5524231884058,417.5222,294594.70179677336,542.7657890810486,baseline
464.8895695652174,434.61889999999994,294468.42438830563,542.6494488970809,baseline
458.47294202898547,418.72400000000005,293196.7347865362,541.4764397335642,baseline
444.85957198067644,344.03646666666697,307246.739022013,554.298420548005,baseline
462.2249275362319,426.03399999999976,293659.7190811884,541.9037913515538,baseline
450.53975652173915,403.1124666666667,295879.9092541608,543.9484435625869,baseline
461.92404347826084,424.4369999999999,293593.5392391739,541.8427255571249,baseline
493.7521347826088,532.7727,314280.65507690154,560.6073983429951,baseline
446.13399468599033,375.9982333333333,300691.24648558104,548.35321325363,baseline
456.6642285024154,407.3784333333333,293331.1850296912,541.6005770211948,baseline
466.5927768115942,442.14919999999995,295194.9175737473,543.3184311007195,baseline
456.1613425120773,404.22396666666657,293414.3067990195,541.6773087355788,baseline
459.81172705314015,420.5951666666667,293263.01833735144,541.5376425857684,baseline
466.8576816425122,441.07276666666644,295322.59880663606,543.4359196875341,baseline
449.1884565217392,392.7525000000003,297060.5303498152,545.032595676456,baseline
465.9264671497584,438.6126333333332,294891.2434344262,543.0388967969294,baseline
444.5333207729468,336.7658666666666,313090.1701154545,559.5446095848431,baseline
446.0614927536231,291.7203333333332,353345.1079286425,594.4283875528174,baseline
445.00675748792275,354.19226666666674,304942.2847660982,552.2157954695774,baseline
519.2564043478261,618.0713000000001,346327.77424338274,588.4961973057963,baseline
456.2178516908212,404.57843333333335,293403.9739189665,541.6677707958694,baseline
501.05489951690834,559.2932666666668,322685.7405153417,568.0543464452514,baseline
500.1264144927536,555.9214000000002,321539.0503686905,567.0441344099157,baseline
483.18762995169095,494.40686666666664,304610.90481074335,551.9156682055179,baseline
445.9399898550725,374.0859,301026.0095482651,548.6583723486457,baseline
445.0470516908213,356.97256666666664,304347.37267257425,551.6768734255354,baseline
