ae,mae,mse,rmse,algorithm
821.202084057971,523.1352666666667,1565435.7156274363,1251.1737351892566,baseline
853.6176835748793,609.8861666666669,1407544.3998026366,1186.3997639087074,baseline
1026.2853695652173,1063.8795,1509011.3211152933,1228.4182191400832,baseline
844.2817125603864,606.115833333333,1440549.24450226,1200.2288300579435,baseline
926.7747927536232,800.4147,1359466.0805076025,1165.9614404034135,baseline
919.974184057971,773.3290999999997,1353415.4266749143,1163.3638410552885,baseline
936.6315333333334,832.8011333333336,1368626.9748640328,1169.8833167731013,baseline
858.9320483091788,623.6873333333333,1393338.3528492555,1180.3975401741802,baseline
941.4770652173914,848.7221666666669,1373899.5364816221,1172.1346068099951,baseline
861.4520072463768,637.0625,1387562.2616339016,1177.948327234222,baseline
966.2362777777778,927.7127666666668,1407555.9456604258,1186.4046298208827,baseline
851.3044367149757,624.3965333333333,1415083.0640311134,1189.5726392411325,baseline
930.7646608695652,813.5242666666668,1362921.5686203379,1167.4423191834096,baseline
890.0736990338165,683.7056333333334,1347067.5197476882,1160.6323792431815,baseline
876.6032685990339,641.2997333333337,1360376.1938343924,1166.3516595925914,baseline
991.6015797101448,979.9390000000003,1447816.2824135222,1203.2523768576243,baseline
951.0578739130435,880.2019666666665,1385816.8567770503,1177.2072276269164,baseline
904.8148637681159,761.9472,1344219.1428837704,1159.404650190679,baseline
894.935341062802,709.5097333333334,1344775.0222843958,1159.644351637344,baseline
966.2744178743961,927.8180333333335,1407609.1239656997,1186.4270411473685,baseline
924.0311560386472,789.795633333333,1356919.0273433223,1164.8686738612737,baseline
851.6757425120774,622.0674333333334,1413844.6403225411,1189.0519922705403,baseline
910.487429468599,783.7245666666668,1346385.276545573,1160.3384319006127,baseline
881.7549676328504,668.6433666666669,1354079.0469761114,1163.6490222468763,baseline
916.1741256038646,756.3866666666661,1350376.5974808498,1162.0570543139652,baseline
992.7244903381644,983.0382333333332,1449825.166701805,1204.0868601150853,baseline
854.5517270531401,604.0271666666667,1404619.779925071,1185.1665621021675,baseline
938.0888724637681,837.5895333333331,1370159.4396878465,1170.5380983495781,baseline
909.3692661835748,786.1205666666666,1345814.8274830806,1160.092594357485,baseline
907.4347468599034,775.8527333333335,1344994.267823332,1159.7388791548433,baseline
885.9744850241545,661.9482666666669,1350035.30809039,1161.910197945775,baseline
937.0247304347827,834.0930666666668,1369035.9240367783,1170.0580857533434,baseline
897.7687004830917,724.5483333333331,1344053.1744100822,1159.3330731114688,baseline
886.3779497584541,664.0897333333331,1349701.1970197,1161.7664124167559,baseline
850.1439048309179,631.6762333333334,1419023.7585953646,1191.2278365599775,baseline
819.8414758454105,480.9801666666667,1606906.1453841433,1267.6380182781452,baseline
825.4220584541063,526.0173666666666,1528145.7475769809,1236.1819233336898,baseline
1051.0120178743964,1118.9162333333338,1556783.5355499736,1247.7113189956935,baseline
876.4298787439614,640.3794333333333,1360614.1471292311,1166.453662658415,baseline
954.7131927536233,892.2122999999997,1390885.9443996032,1179.3582765214323,baseline
976.1121111111111,940.7789333333333,1422065.7994798417,1192.5040039680546,baseline
974.1466763285026,946.2035333333329,1419059.693411009,1191.2429195638515,baseline
873.8749391304349,626.8186000000001,1364316.8201945948,1168.0397339964916,baseline
900.8051550724638,740.6648999999999,1343781.6988094363,1159.215984538445,baseline
879.8491739130435,658.528,1356234.311688652,1164.5747342651102,baseline
990.1566763285027,975.9510666666667,1445259.6170473292,1202.1895096228918,baseline
853.296956521739,611.8980000000004,1408564.4755627825,1186.8295899423736,baseline
885.0152671497584,664.0209666666667,1350866.4643502391,1162.2678109412818,baseline
939.9719739130434,843.7768666666666,1372207.5253582005,1171.4126196000282,baseline
955.1439666666665,893.6276999999998,1391502.3316532376,1179.6195707316988,baseline
820.4474344814039,384.18409999231926,1704120.7509948437,1305.419760458238,bo_3_GP_PI
836.6293866304419,331.2594667060986,1820557.5320132866,1349.280375612603,bo_3_GP_PI
816.3044460274652,367.686038300262,1703710.0249810175,1305.2624352907033,bo_3_GP_PI
819.0187705908719,495.1769666666668,1565801.8977466426,1251.3200620731063,bo_3_GP_PI
819.5669191302181,390.46466986532994,1691382.0587520855,1300.5314524270782,bo_3_GP_PI
838.5469711898095,570.7000099313693,1449740.5129604905,1204.0517069297691,bo_3_GP_PI
823.9158659342606,343.9713333333334,1765150.666585915,1328.589728466209,bo_3_GP_PI
819.2007462923965,512.8309377399776,1572588.5022920645,1254.0289080767095,bo_3_GP_PI
816.2823316337478,500.7964231259558,1550114.7238684716,1245.036033160676,bo_3_GP_PI
813.8941068657708,423.4729241641404,1635720.0546864262,1278.9527179244847,bo_3_GP_PI
824.1878805997212,527.2686665938961,1536100.8911109264,1239.3953732005482,bo_3_GP_PI
843.8476965416239,579.2766715336551,1450675.3833317084,1204.4398628954907,bo_3_GP_PI
808.3925352698155,377.654417564214,1644398.8689888527,1282.3411671582771,bo_3_GP_PI
818.4108520561964,450.56720744738107,1623352.8120069727,1274.1086343035954,bo_3_GP_PI
816.3140043561375,492.16744882052717,1574442.7800960166,1254.7680184384749,bo_3_GP_PI
861.7250130239212,316.98448184563034,1928412.459036242,1388.6729129050664,bo_3_GP_PI
813.1293302420238,406.66063850184594,1646145.854068183,1283.022156499327,bo_3_GP_PI
820.2930319206671,388.80836709660355,1697031.0493661908,1302.7014429124545,bo_3_GP_PI
