ae,mae,mse,rmse,algorithm
418.62579227053135,232.13433333333342,441844.1866176375,664.7136124810726,baseline
448.63918840579703,331.9667333333335,393124.05129168456,626.9960536492113,baseline
516.3995594202897,512.0591333333334,411895.5892601762,641.7909233233017,baseline
439.28456521739133,288.93546666666674,402111.2961011144,634.1224614387306,baseline
498.74942463768105,477.5842333333333,399483.33246676356,632.0469384996367,baseline
486.46491207729474,439.2677333333333,392135.8394476034,626.2075051032233,baseline
493.0423985507246,461.6904999999999,396079.20146671374,629.3482354521333,baseline
440.2542898550725,293.3962000000001,401007.60200063995,633.251610341924,baseline
495.22340966183583,468.23353333333347,397419.41101282847,630.4120961821945,baseline
441.29513768115936,298.1841000000001,399867.2404278302,632.3505676662512,baseline
500.50520724637676,482.0712333333333,400535.8096376389,632.8789849865761,baseline
428.4221956521739,268.0994333333334,417193.904582667,645.905491989863,baseline
473.5229289855073,392.2679,387133.1017835229,622.2002103692371,baseline
447.7375724637681,327.81930000000006,393828.99051731906,627.5579578949812,baseline
453.67559420289854,337.4541999999999,389819.0941183328,624.3549424152361,baseline
490.61567777777776,454.34156666666667,394676.01055699744,628.2324494619786,baseline
485.6900241545894,436.45366666666683,391711.96398374403,625.8689671039331,baseline
477.5690753623189,406.9618000000001,388222.44391984295,623.0749906069436,baseline
482.3782415458937,424.42666666666656,390078.8621013526,624.5629368617326,baseline
482.9052758454107,426.3406333333334,390319.3965529653,624.7554694062031,baseline
483.4664642512077,428.3786333333332,390583.5727873595,624.9668573511394,baseline
441.65818840579715,299.85413333333355,399480.26398516464,632.0445110790573,baseline
461.7829275362319,366.3969333333333,386753.7768922528,621.8953102349726,baseline
454.10358695652167,339.42296666666664,389587.7268994948,624.1696299080041,baseline
483.26183333333336,427.6354999999999,390486.28169381514,624.8890155010049,baseline
573.4140391304346,627.1136333333334,461983.5001637132,679.6936811268097,baseline
437.9912826086956,293.3296333333333,403645.17751446855,635.3307622919486,baseline
489.07765990338163,448.75613333333337,393681.7829194575,627.44066087516,baseline
477.55869420289855,406.9240999999999,388219.09646630567,623.0723043646746,baseline
464.13949999999994,377.23716666666667,386384.55931473314,621.598390695096,baseline
464.16890579710144,377.37243333333345,386381.43676097225,621.5958789768255,baseline
482.72406908212554,425.6825666666667,390235.8686964931,624.6886173898906,baseline
467.1410869565217,375.52953333333335,386254.5995442449,621.4938451378621,baseline
466.9602898550724,376.36120000000005,386251.63611823996,621.4914610179612,baseline
427.16184782608684,269.0299666666666,419267.22197786,647.5084725143448,baseline
420.2237144927536,241.9919666666666,434274.2935155509,658.9949116006518,baseline
419.2306714975846,240.4816666666668,437977.5179343525,661.7986989518433,baseline
579.5961043478259,638.0511333333334,468123.0769821009,684.1952038578617,baseline
458.32291304347825,358.83186666666666,387721.73204720137,622.6730538952214,baseline
508.9930159420289,493.13129999999995,406191.52760908136,637.331568031179,baseline
527.4443898550725,535.3882999999998,419911.8502974406,648.0060572999612,baseline
505.08752463768104,488.6974,403472.2871814469,635.1946844719711,baseline
454.33339130434786,340.48006666666674,389466.69635379093,624.0726691289973,baseline
446.95176086956525,324.2045666666666,394471.44488885836,628.0696178680022,baseline
466.7098768115942,377.5131,386249.81649519835,621.4899970998715,baseline
519.5695376811594,518.9227000000001,414141.0037523045,643.5378805884736,baseline
439.0131811594203,288.62889999999993,402427.2994776912,634.3715783968345,baseline
456.9617536231884,352.5705333333333,388241.38282282255,623.090188353839,baseline
450.8660579710145,324.5303333333334,391530.36263327545,625.7238709153387,baseline
496.82205507246374,472.6587333333335,398374.36137421505,631.1690434219782,baseline
416.95426085292286,126.66279997707659,504415.21375921345,710.2219468301536,bo_3_GP_PI
415.56902676462596,146.4494333803844,490142.70579990506,700.1019252936711,bo_3_GP_PI
414.60315262305005,143.36355142866438,482252.52693050297,694.4440416120675,bo_3_GP_PI
414.777434251397,203.91454054965783,457007.7253124637,676.0234650605433,bo_3_GP_PI
416.798547206515,197.00945840166906,458922.3124694164,677.438050650697,bo_3_GP_PI
433.93252398572906,128.71590000407707,543956.8730835307,737.5343199360493,bo_3_GP_PI
419.2439625030956,243.38733333333323,427893.46163169557,654.1356599602988,bo_3_GP_PI
415.16696451779353,242.13958259691736,413250.44593252207,642.8455848277423,bo_3_GP_PI
437.66286698534134,140.43959542172308,550636.1098744131,742.0485899686173,bo_3_GP_PI
