ae,mae,mse,rmse,algorithm
1465.3520855790002,1119.8981620953614,3637545.5016776146,1907.2350410155573,baseline
1432.736574910649,1181.1967918743662,3289061.489486143,1813.576987471484,baseline
1564.2221229648546,1592.0093030580642,3293839.8809710653,1814.8939035026442,baseline
1433.0714234763977,1185.8177020817006,3285167.0227284688,1812.5029717847276,baseline
1523.8174555761384,1433.0713681669658,3145244.4461745764,1773.483703385677,baseline
1584.106590814014,1669.6091974730666,3380742.792156069,1838.6796328224418,baseline
1439.1905368853888,1211.3714154471668,3425985.0201926003,1850.9416576955093,baseline
1430.7117932346819,1196.9220802422997,3321471.9753364436,1822.4905967758637,baseline
1472.7382442025519,1112.6654059144662,3126809.330854173,1768.278634959483,baseline
1434.6008707168662,1179.7368155128333,3267921.748160894,1807.7394027239916,baseline
1531.0259294371965,1455.6771839439652,3164378.3604548145,1778.8699672699,baseline
1484.6511092481276,1187.3915593821675,3112750.123203217,1764.2987624558425,baseline
1572.931629826289,1618.2043769295333,3329844.367634979,1824.786115585873,baseline
1435.6405353491164,1189.1032239923675,3401427.415714654,1844.2959132727735,baseline
1491.6729580913684,1231.4377021261334,3109694.608358856,1763.432620872954,baseline
1527.4829079121216,1446.4492793692361,3154462.899198481,1776.0807693341203,baseline
1529.3805434394815,1445.3561263219326,3159650.7460503057,1777.5406454003537,baseline
1522.5581404572094,1425.1720278755001,3142321.347716721,1772.6593998049148,baseline
1430.1210693506766,1225.3657893027334,3348470.105396995,1829.8825386884796,baseline
1482.7219932224748,1175.2907406758,3114268.990517768,1764.729155003047,baseline
1464.0901815012626,1058.4184671518337,3144011.9116900465,1773.1361796799608,baseline
1479.6666674816981,1156.1255155745657,3117273.786865716,1765.5802974845737,baseline
1523.331777363259,1430.0248411952666,3144102.3148576193,1773.1616719457984,baseline
1458.4746224729247,1023.1935968831672,3158333.920102439,1777.1702000940818,baseline
1541.4876209975787,1521.3005219136326,3199421.198243746,1788.692594674598,baseline
1500.3807097692468,1286.0590535600995,3111294.835017755,1763.886287439685,baseline
1487.3250828658272,1204.164666620466,3111129.106287008,1763.8393085218981,baseline
1443.1907843835252,1100.6712809482988,3211240.224498642,1791.9933661982798,baseline
1488.9030844149943,1214.063039974334,3110436.4940890744,1763.6429610578991,baseline
1478.9375562195444,1151.5519994756,3118099.4095016564,1765.8140925651421,baseline
1522.1733806850136,1422.7585347590002,3141453.1405564183,1772.4144945684739,baseline
1507.6552887560028,1331.6905035679329,3117206.3677126863,1765.5612047484183,baseline
1456.859138696977,1013.0601077431329,3162913.713299314,1778.458240527259,baseline
1470.8026258466168,1100.5237998636003,3130148.4039617544,1769.222542237622,baseline
1466.5369103875898,1073.766130166067,3138547.9067758983,1771.594735478715,baseline
1494.0181526221293,1299.7125826386284,3931200.7990075964,1982.7255985152349,baseline
1433.5942149772504,1193.032224793466,3279172.066762547,1810.848438374274,baseline
1579.8771163097747,1650.1536147535671,3360857.27804317,1833.2641048259168,baseline
1522.3368276184806,1423.7837927962005,3141820.533875354,1772.518133581531,baseline
1528.3008994483935,1441.3182415508031,3156664.4146301798,1776.7004290623054,baseline
1540.5894556963658,1515.666575933299,3196074.6962158233,1787.7568895730267,baseline
1609.9961828768978,1788.7013209623333,3518966.5657195062,1875.890872550828,baseline
1468.6675469364332,1087.1310321542664,3134173.5360067175,1770.3597193809842,baseline
1452.7093230793466,1038.828147061367,3175619.5519704293,1782.0268101155013,baseline
1460.32277681656,1034.7865650387002,3153346.394852688,1775.7664246326678,baseline
1587.5989300601664,1685.6739580053668,3397733.1791656883,1843.2941108693665,baseline
1479.3572886720206,1154.1848666774995,3117619.0082176384,1765.6780590520002,baseline
1485.5012059737862,1192.723984297666,3112173.7707865327,1764.1354173607344,baseline
1459.2601236181686,1028.1208313397,3156181.2823036215,1776.5644604977388,baseline
1566.1436952260572,1586.9798777684673,3301507.524473074,1817.005097536348,baseline
1546.6677530975376,1523.1173420451391,3223830.0474923407,1795.5027283444435,bo_3_GP_PI
1449.8181268446967,1116.8656370336198,3251062.017498121,1803.0701643303073,bo_3_GP_PI
1436.791004730035,1181.8743168756723,3295956.327029895,1815.4768869445556,bo_3_GP_PI
1467.0088163199878,1109.9729534055223,3152380.1952411593,1775.494352354059,bo_3_GP_PI
1521.317439269463,1410.2979566508793,3166391.898813988,1779.4358372287516,bo_3_GP_PI
1484.6582457031336,1180.0249939772275,3783652.429237277,1945.1612861758474,bo_3_GP_PI
1473.286680484908,1374.3757639690657,3022780.685372159,1738.614587932633,bo_3_GP_PI
1488.965095009287,1325.248521290533,3115244.0533796027,1765.005397549708,bo_3_GP_PI
1504.836482977058,1378.4070570866493,3116993.7502056346,1765.500991278576,bo_3_GP_PI
1455.8921879164975,1267.6455198156564,3479921.8105375604,1865.4548535243516,bo_3_GP_PI
1444.1484360338263,1152.7475165244423,3276516.348943241,1810.1150098662904,bo_3_GP_PI
1571.2489302348083,1572.26659374172,3318122.300881745,1821.5713823185038,bo_3_GP_PI
1473.7594451444254,1140.9894566598878,3180273.0607488966,1783.3320108013809,bo_3_GP_PI
1504.2765955989632,1365.7507591567783,3082916.770940824,1755.8236730779158,bo_3_GP_PI
1477.4075895296398,1139.0529458496371,3148952.3317771335,1774.5287632994664,bo_3_GP_PI
1449.4106427353609,1138.7170179220752,3076333.483130002,1753.9479704740395,bo_3_GP_PI
1469.7803623598081,1224.0590621818478,3613615.7834432647,1900.951283816412,bo_3_GP_PI
1448.609627462259,1205.835116755699,3468286.2440910838,1862.3335480227713,bo_3_GP_PI
1500.1790893544228,1227.139223940142,3857167.7033991087,1963.9673376609676,bo_3_GP_PI
1446.7411599289335,1046.7149490332931,3155145.7323362357,1776.272989249185,bo_3_GP_PI
1431.0479469456338,1163.7242895311474,3288748.4094306217,1813.4906697942015,bo_3_GP_PI
1453.1201016063749,1264.0415956559063,3510483.7246690993,1873.6284916357083,bo_3_GP_PI
1444.3040283038688,1072.827741982991,3186936.694755159,1785.1993431421486,bo_3_GP_PI
1457.1681657240167,1240.925762356328,3546134.152120556,1883.1181991899914,bo_3_GP_PI
1441.2054945851644,1067.0126860048822,3139958.5455971654,1771.9928175918674,bo_3_GP_PI
1448.2311743627158,1121.3132722487694,3250590.483125994,1802.9394008468487,bo_3_GP_PI
1562.0761331909343,1605.7014182181229,3288433.5909516513,1813.4038686822225,bo_3_GP_PI
1438.9534069773078,1138.460840839542,3293195.306363472,1814.71631567126,bo_3_GP_PI
1447.9348334642737,1052.6254921784757,3200553.0755228098,1789.0089646289673,bo_3_GP_PI
1481.7737732784042,1179.1022743606718,3100047.8444554345,1760.6952730258108,bo_3_GP_PI
1457.8982214750374,1064.7362577837484,3200355.5771974353,1788.9537660871606,bo_3_GP_PI
1464.0474475561375,1110.955468237103,3156056.6122332662,1776.5293727471173,bo_3_GP_PI
1492.3724032713174,1212.2874577173666,3149742.4507548227,1774.7513771666224,bo_3_GP_PI
1488.3030765044489,1212.522464903635,3113633.06288541,1764.5489686844653,bo_3_GP_PI
1500.6258303953389,1328.868513576333,3131398.5480632456,1769.575810205159,bo_3_GP_PI
1433.2482618503334,1184.1736307500205,3280997.864549042,1811.352495940269,bo_3_GP_PI
1443.7904057301835,1114.077477876821,3266192.486730885,1807.2610455412591,bo_3_GP_PI
1470.440404820376,1190.135136172782,3080954.10024739,1755.264680966204,bo_3_GP_PI
1485.2274476349578,1264.2067316312887,3101980.6418998227,1761.2440608557984,bo_3_GP_PI
1460.806702067132,1038.1267094906066,3184670.6913742386,1784.5645663226194,bo_3_GP_PI
1445.7863852884036,1115.5806207644555,3236736.212869942,1799.0931640329086,bo_3_GP_PI
1491.6082484703848,1206.5288514397125,3137145.6394157275,1771.1989271156776,bo_3_GP_PI
1662.2121989491595,1046.3408789078962,5093129.748160379,2256.7963461864206,bo_3_GP_PI
1456.5677566892482,1045.2716635948968,3195950.7118801833,1787.7222132871157,bo_3_GP_PI
1512.051209418838,1431.7539251732824,3149945.6954905046,1774.8086363015323,bo_3_GP_PI
1472.3525250608802,1159.213362320152,3140734.29749355,1772.2116965796017,bo_3_GP_PI
1449.5164036138233,1215.3902974543985,3518919.1764991134,1875.8782413843157,bo_3_GP_PI
1479.8426758498533,1105.450674119365,3238288.036924377,1799.5243918670226,bo_3_GP_PI
1506.4722250831794,1329.654327111853,4037109.43948612,2009.2559417570774,bo_3_GP_PI
1443.9035952511476,1217.2293049969826,3390290.798157086,1841.2742321982041,bo_3_GP_PI
1682.010221495624,1495.751945075402,4736435.2094186535,2176.3352704532117,bo_3_GBRT_PI
1775.6682897837468,1503.5898724859594,5307373.428164126,2303.77373632137,bo_3_GBRT_PI
1754.8094374474767,1446.6252678726964,5426958.493197836,2329.58333038289,bo_3_GBRT_PI
1760.54676592647,1512.970237236939,4974294.362823223,2230.3126154921024,bo_3_GBRT_PI
1522.1851420174676,1343.61648471458,3788442.686411653,1946.3922231687152,bo_3_GBRT_PI
1841.7135310401054,1394.143863109537,5647640.211370463,2376.476427690892,bo_3_GBRT_PI
1827.6075979645525,1719.233418820625,5228751.773110222,2286.64640316561,bo_3_GBRT_PI
1754.6160034599204,1483.0510711644315,5128636.875464125,2264.6493934965133,bo_3_GBRT_PI
1624.5974723147417,1322.2110328220306,4538378.004541182,2130.3469211706297,bo_3_GBRT_PI
1961.5345453972,1851.6105861365058,5861430.031590847,2421.0390396668217,bo_3_GBRT_PI
1802.3360394810306,1666.259160208565,5329987.136875016,2308.676490302402,bo_3_GBRT_PI
1881.927380529367,1748.7629353637699,5509245.177776085,2347.178130814976,bo_3_GBRT_PI
1794.876397975781,1597.5924275596842,5263166.755675665,2294.1592699016487,bo_3_GBRT_PI
1736.4100650973073,1446.0368245818365,4846908.3919415735,2201.569529209008,bo_3_GBRT_PI
1874.3868323949541,1653.5299023376915,5542508.189292408,2354.2532126541546,bo_3_GBRT_PI
1744.6880697802276,1530.283044811849,4881343.5771338595,2209.3762869040347,bo_3_GBRT_PI
1895.6770421915119,1691.8889228872317,5663784.422975941,2379.870673582063,bo_3_GBRT_PI
1858.1631399250575,1611.07768780983,5828181.12414233,2414.162613442253,bo_3_GBRT_PI
1969.100158074443,1784.4762250831945,6089932.111676636,2467.778780943834,bo_3_GBRT_PI
1418.5253976891083,1279.1399293142283,3639239.5033625625,1907.6790881494096,bo_3_GBRT_PI
1713.835256255792,1353.0658295308249,5299316.13797783,2302.024356512726,bo_3_GBRT_PI
1619.6063279172579,1314.572635701063,4398843.489022164,2097.3420057353937,bo_3_GBRT_PI
2010.97653306113,1448.8757990482973,6903637.154898375,2627.477336704995,bo_3_GBRT_PI
1715.062975888941,1526.9640186558877,4932282.213471124,2220.874200280404,bo_3_GBRT_PI
1995.1091696549552,1723.9525317833718,6241404.370243822,2498.280282563152,bo_3_GBRT_PI
1589.2180710326663,1526.8459114001137,4441902.120229686,2107.582055396583,bo_3_GBRT_PI
1941.706293804986,1860.577430561024,6141044.534624124,2478.113099643381,bo_3_GBRT_PI
2003.5857062730538,1913.609610392019,6289926.719326541,2507.972631295354,bo_3_GBRT_PI
1773.8484402767972,1583.8018468729401,5147616.974569499,2268.836039595964,bo_3_GBRT_PI
1962.928219940423,1763.673207375195,5934050.244220926,2435.9906084016266,bo_3_GBRT_PI
1894.8365499096114,1548.1715728686286,5691580.610477274,2385.70337856098,bo_3_GBRT_PI
1635.982608413095,1567.867857242822,4053303.880566329,2013.2818681362849,bo_3_GBRT_PI
1827.9172916982411,1638.9091569746115,5378845.002135989,2319.2337101154744,bo_3_GBRT_PI
2162.5888731416517,2089.3889508539705,7038862.547020097,2653.0854767647606,bo_3_GBRT_PI
1658.8096277388865,1336.1547582038843,4285617.57785294,2070.1733207277452,bo_3_GBRT_PI
1786.4464121739663,1611.1957960461982,5136891.943510036,2266.4712536253433,bo_3_GBRT_PI
1970.8282063006554,1938.9742232963558,6174284.421834878,2484.81074165315,bo_3_GBRT_PI
1772.1372757152421,1318.9212605572125,5401281.562330187,2324.0657396748024,bo_3_GBRT_PI
1686.4811063097395,1385.1954787762074,4864832.1093267435,2205.636440877495,bo_3_GBRT_PI
1767.2554561259035,1621.3730442333904,5052475.026281866,2247.771124087563,bo_3_GBRT_PI
1752.3097674080543,1359.8842154967238,5274004.757862529,2296.520140966007,bo_3_GBRT_PI
1593.918597242037,1423.0320142336818,4222048.479937835,2054.7623901409706,bo_3_GBRT_PI
2068.3420229331437,2119.125153914749,6526022.54332411,2554.6080997530935,bo_3_GBRT_PI
1914.4287988670324,1705.7087524233996,5869854.865206664,2422.7783359619725,bo_3_GBRT_PI
1694.9613968404497,1595.8783404485378,4774023.801225033,2184.9539586053143,bo_3_GBRT_PI
2074.1742077988606,2142.502690784916,6078799.114389181,2465.5220774491518,bo_3_GBRT_PI
1637.5860045708655,1499.3972285673003,4292900.159482775,2071.931504534543,bo_3_GBRT_PI
1802.1997735740924,1666.9601375232185,5352027.492922222,2313.444940542615,bo_3_GBRT_PI
