ae,mae,mse,rmse,algorithm
1163.4724637413317,801.1775541492327,2532110.902810156,1591.2607903201022,baseline
1144.9979055063768,1039.999851512999,2269431.116878138,1506.4631150075124,baseline
1222.0355489827703,1036.0179489890666,2103851.4139625574,1450.4659299558048,baseline
1152.8593464294056,1000.9037284753333,2146430.994968055,1465.0703037629473,baseline
1354.1839368951337,1227.6245101441327,2522810.0367261115,1588.3356184151105,baseline
1206.2307416354063,971.8690250497671,2089921.3930460224,1445.6560424409474,baseline
1163.749872320923,881.6711235879011,2099561.1160065252,1448.9862373419994,baseline
1170.3297200117895,838.9841585325009,2090757.0151941287,1445.9450249556962,baseline
1175.57442005429,839.919318702066,2087143.5021551298,1444.6949512458089,baseline
1150.1339783451754,903.4392755197662,2405668.6836925605,1551.0218192187242,baseline
1251.5797008536479,1155.9324477591,2151962.8738856968,1466.9570116011228,baseline
1199.3525601727156,943.9517002894338,2086429.3536165245,1444.4477677010423,baseline
1229.585913847933,1066.6635475594337,2113411.179788839,1453.7576069582024,baseline
1155.3803539806552,958.1468329453996,2126904.308666313,1458.390999926396,baseline
1152.6117991544202,1006.5973157999997,2149307.0617025644,1466.05152082134,baseline
1201.6078025651236,953.1053311762664,2087402.5798907992,1444.7846136676565,baseline
1223.4438423497716,1041.7339632433664,2105492.0027545164,1451.0313582946842,baseline
1208.9733509551188,983.0007922886,2091748.4958977695,1446.287833004817,baseline
1183.5848824678117,876.7674458042661,2084414.9377721336,1443.7503031245167,baseline
1214.388468282032,1004.9797979096002,2096083.7425697446,1447.7858068684554,baseline
1171.3508738787925,832.5787388213007,2089750.3675720596,1445.5968897213565,baseline
1171.3439232512153,832.6223382124672,2089756.942089345,1445.5991636997253,baseline
1201.657674944119,953.3077543616,2087425.9956767706,1444.7927172009038,baseline
1167.9561688542892,853.8727976113673,2093413.8878601159,1446.8634655212343,baseline
1231.8680648767663,1075.9263958529336,2116670.3523182375,1454.8781228399296,baseline
1328.674365049084,1316.5215996423667,2412946.2517866306,1553.3661035913685,baseline
1156.9267908456866,942.9033838472333,2120826.8890514183,1456.3059050389854,baseline
1185.956843289297,887.6784655831,2084128.0894289638,1443.6509583098555,baseline
1181.2018296967174,865.805403057233,2084942.900944486,1443.9331358980878,baseline
1159.9873620012054,912.7348967428336,2110169.006737365,1452.6420779866473,baseline
1171.1301437343543,833.9633188182338,2089961.0103275226,1445.6697445570073,baseline
1229.191503453451,1065.0627053700666,2112865.307716678,1453.569849617375,baseline
1162.3718142708267,895.2548386531337,2103127.094843188,1450.2162234795155,baseline
1169.5754104752975,843.7157365341338,2091553.3047798837,1446.2203513918216,baseline
1146.5117181082956,1074.8175413571325,2240662.7772459956,1496.8843566708804,baseline
1147.3528074984056,1084.8976135783332,2225726.581975743,1491.8869199693868,baseline
1147.828098044932,1073.9659310082332,2217617.2747513694,1489.1666376706703,baseline
1278.0669365208953,1263.4394631143991,2219545.6772557404,1489.8139740436523,baseline
1171.7198139934853,830.3833616456343,2089424.2337328538,1445.484082836215,baseline
1269.5902268540297,1229.033994466533,2195402.060647921,1481.6889216863037,baseline
1293.561820695518,1317.864711756867,2269797.7395335264,1506.5847933433838,baseline
1257.2819414596065,1179.0768361009327,2164559.7532027983,1471.2442873985267,baseline
1152.9714398270287,998.3255803300001,2145149.9913357617,1464.6330568902786,baseline
1150.438984706816,1056.5720480948999,2177333.377855802,1475.5789974975253,baseline
1168.020638526802,853.4683969383345,2093335.8652594548,1446.8365026012632,baseline
1263.353286742847,1203.719355191733,2179149.6152987177,1476.1943013366222,baseline
1158.6495156980707,925.9222388737332,2114603.8769577537,1454.1677609401722,baseline
1172.4635596784492,826.9621314948008,2088935.2092441658,1445.3149169797446,baseline
1172.4784848869783,826.893475535567,2088925.635286228,1445.3116049095531,baseline
1220.9564409419806,1031.638039882333,2102638.528243259,1450.0477675729373,baseline
1151.2239336931727,837.223633366991,2462811.881511662,1569.3348532138264,bo_3_GP_PI
1149.1925346824153,988.2213190412372,2351259.2725932314,1533.3816460989844,bo_3_GP_PI
1151.003131118821,737.0493165815228,2544656.021913025,1595.1978002470494,bo_3_GP_PI
1137.3402885076605,929.154473054266,2342704.91945158,1530.5897293042246,bo_3_GP_PI
1156.946068053678,862.3711569635207,2466507.517704633,1570.5118648722885,bo_3_GP_PI
1155.3005598665748,865.111223583875,2046386.9775620538,1430.519827741669,bo_3_GP_PI
1272.5727957050065,588.0890002313985,3190090.4361198195,1786.0824270228459,bo_3_GP_PI
1138.5088886584144,855.000065669286,2404899.852562609,1550.773952761204,bo_3_GP_PI
1160.5647642723259,683.5732595596523,2640084.387041864,1624.8336490366835,bo_3_GP_PI
1134.6604632863966,895.3391966781644,2345608.8646716615,1531.5380715710796,bo_3_GP_PI
1172.7973853688413,756.6423260911871,2639967.065469092,1624.7975459942977,bo_3_GP_PI
1158.9710009950586,878.2703842019066,2011857.1714929782,1418.3995105374854,bo_3_GP_PI
1178.1739568951566,667.0333380564921,2749321.452322063,1658.1077927330489,bo_3_GP_PI
1151.72637576315,1035.377985276942,2139284.901221438,1462.6294476802516,bo_3_GP_PI
1151.0034310463132,817.5100259486791,2478072.148497805,1574.1893623379003,bo_3_GP_PI
1239.639036126701,610.1072515559346,3043972.126139713,1744.6982908628395,bo_3_GP_PI
1164.9166311020817,810.2279546744693,2557050.385290097,1599.0779797402304,bo_3_GP_PI
1180.0146070300168,723.7077433610777,2709333.9493985875,1646.005452420674,bo_3_GP_PI
1252.1618505329902,549.5331874087044,3097586.661187306,1759.9962105604961,bo_3_GP_PI
1156.3555945447265,734.1692365984502,2572082.27735381,1603.7712671555785,bo_3_GP_PI
1191.4554565037456,603.7101096087517,2843199.4484362924,1686.1789491143259,bo_3_GP_PI
1182.0991583923417,894.0989365781143,2086166.568261844,1444.356800884686,bo_3_GP_PI
1198.2838328292462,614.6503177737596,2882316.0969922007,1697.7385243294095,bo_3_GP_PI
1160.44847254574,926.0758795715672,2110533.625538366,1452.7675745067984,bo_3_GP_PI
1125.7589419948806,999.5295328867526,2222711.4123121477,1490.8760553151787,bo_3_GP_PI
1280.1562060335057,598.0686945562239,3236660.5871937457,1799.072146189181,bo_3_GP_PI
1150.9146163715022,764.4640116258007,2526086.892881158,1589.3668213729509,bo_3_GP_PI
1171.0285567836283,913.0905504156156,2131036.4107451392,1459.8069772216938,bo_3_GP_PI
1217.2675647948408,614.7950220738227,2949590.649830046,1717.4372331558573,bo_3_GP_PI
1136.890139116272,1015.4292276058543,2254506.2400175515,1501.5013286765854,bo_3_GP_PI
1180.14799590923,681.8815970674261,2757070.515507561,1660.4428672819674,bo_3_GP_PI
1196.6663941530433,589.3098063750004,2868464.601516164,1693.6542154513606,bo_3_GP_PI
1144.1011273172312,990.9925299673096,2321326.9815236684,1523.5901619279603,bo_3_GP_PI
1227.4837646997514,571.9226304638274,3006256.8826432773,1733.8560732204035,bo_3_GP_PI
1184.1555743863441,925.3768084368021,2078560.846655133,1441.7214872003306,bo_3_GP_PI
1141.6072492439635,1025.0854972607697,2128817.998548651,1459.0469487129778,bo_3_GP_PI
1225.852067268432,591.9902243074615,3029390.183020282,1740.5143443879692,bo_3_GP_PI
1171.2782262072872,681.0761606900172,2704001.1077155503,1644.3847201052283,bo_3_GP_PI
1163.630133873126,776.46229826631,2560110.3725595316,1600.0344910530935,bo_3_GP_PI
1143.1896185075268,1053.465154340269,2226565.4487569854,1492.1680363675484,bo_3_GP_PI
1251.1230459040653,552.6791590710029,3109979.714425494,1763.5134573984667,bo_3_GP_PI
1226.8883071613964,601.8816088921994,2986752.8911106717,1728.2224657464303,bo_3_GP_PI
1132.6073507017786,1003.3369800325515,2280620.3406869066,1510.1722884117912,bo_3_GP_PI
1145.5451914854566,776.730023496979,2478302.9450108986,1574.262667095583,bo_3_GP_PI
1210.4874300746174,610.1355292660494,2912021.7080263835,1706.4646811541056,bo_3_GP_PI
1163.1181531408727,682.5678583471615,2639925.5984712415,1624.7847852781124,bo_3_GP_PI
1144.7094316796197,788.3267027985457,2484003.5599617027,1576.0721937657877,bo_3_GP_PI
1128.6314145442655,859.2167790013746,2385653.739384542,1544.5561625866967,bo_3_GP_PI
1133.553686964183,952.8245374728815,2305259.5005677966,1518.3081046242876,bo_3_GP_PI
1173.6386903057394,762.5728060036253,2641991.6739686634,1625.420460671227,bo_3_GP_PI
1301.8404923421397,1196.451609831878,2794759.0122526977,1671.753274934043,bo_3_GBRT_PI
1233.032560438141,1102.1591408804215,2595594.0505805854,1611.0847434510033,bo_3_GBRT_PI
1276.3745864069338,1034.7945114999238,2755022.5529468153,1659.8260610518246,bo_3_GBRT_PI
