ae,mae,mse,rmse,algorithm
1191.9814548842655,711.3450376341348,3286288.4493448827,1812.8123039478971,baseline
1228.7595983509423,1000.2413072387326,3012359.169595793,1735.6149254934958,baseline
1493.467619788358,1455.4497472387675,3182351.785712238,1783.914736110512,baseline
1215.7847615018607,935.6909702283992,3057212.746158224,1748.4887034688627,baseline
1390.797496581575,1193.0705434881002,2978867.862581759,1725.9397042138405,baseline
1348.279028584172,1097.7108461797347,2934715.2934392043,1713.1010750796943,baseline
1396.082299795149,1206.5761517005672,2985980.7280483325,1727.9990532544664,baseline
1210.8753483453247,902.7504669481991,3083313.247639225,1755.9365727836598,baseline
1418.2486869918794,1263.2235856477664,3019788.663173156,1737.7539132953077,baseline
1252.7287968540725,1011.7665166768686,2955018.964019245,1719.0168597251293,baseline
1447.2212661681276,1337.2646213204007,3073653.638675623,1753.1838576360503,baseline
1201.9969866389013,815.2351872705995,3163197.9499837034,1778.5381497127644,baseline
1322.4118458747064,1143.7666104420664,2917025.268436101,1707.930112280974,baseline
1252.6409937896597,1012.1704107731682,2955184.640947522,1719.0650484922094,baseline
1266.8165109971524,948.2956158543004,2932662.3088654047,1712.5017690108832,baseline
1412.7226629383497,1249.1015241776345,3010759.8848518133,1735.1541386435424,baseline
1391.728078351423,1195.4486968999336,2980093.8783879853,1726.2948410940655,baseline
1357.8365613861142,1122.8156084970346,2942738.3427701113,1715.441151065845,baseline
1344.6254704700718,1104.7947970915657,2931607.752343834,1712.1938419302394,baseline
1400.3147428680015,1217.3923951089673,2991940.283346996,1729.7226030051745,baseline
1350.953926710836,1105.2266532157682,2936985.0206316053,1713.763408592798,baseline
1225.4186940754275,984.8731475713657,3022282.080272655,1738.4711905213312,baseline
1263.2662584671086,963.294193256902,2937504.812383873,1713.9150540163514,baseline
1298.5933266041889,1065.051710948633,2913580.629534961,1706.9213893835185,baseline
1336.2256730231497,1129.9941894323324,2925374.499684212,1710.3726201282022,baseline
1517.4790108788534,1516.8121911366998,3249806.0095351865,1802.7218336546507,baseline
1222.3810030725508,970.8997689581329,3031714.409383132,1741.1819001422948,baseline
1393.8856321741578,1200.9624455580333,2982979.9099851274,1727.1305422535747,baseline
1322.490436671502,1143.4812017589666,2917061.40322863,1707.9406907819223,baseline
1285.2591240162333,1016.6275015502663,2918185.776221288,1708.2698195019684,baseline
1301.7714313137847,1076.5932491045337,2913175.125177618,1706.802602874046,baseline
1384.5950440557274,1177.2198314776,2970985.243006024,1723.6546182475258,baseline
1281.5712720361537,1003.2347759383995,2920287.3228850523,1708.8848184956914,baseline
1302.686648365569,1079.9169320820663,2913107.7570431563,1706.7828675737157,baseline
1204.7795778192713,842.6635860485321,3136512.9840048277,1771.0203228661233,baseline
1191.1304810069955,729.6871123534352,3309036.839286588,1819.0758201038757,baseline
