ae,mae,mse,rmse,algorithm
603.7248586352218,378.855758398567,819483.7732402707,905.2534303940918,baseline
621.4213366026089,490.7963843632002,751367.3090707096,866.8144605800653,baseline
744.6264559364552,709.5179843648666,791098.214344304,889.4370210106526,baseline
615.3355964145942,458.22628366100014,762461.5369107993,873.190435650093,baseline
690.1752266383116,570.3648428251665,740355.3940201547,860.4390704867805,baseline
679.6400602711115,549.9156974480995,734299.9434634473,856.91303144686,baseline
686.6964459484338,560.3753873388666,738202.5473816317,859.1871433987078,baseline
610.5013502359188,410.57442847120024,782515.7296650246,884.5991915353668,baseline
706.2822470868464,611.5272284158664,751331.9101931117,866.7940413922512,baseline
636.6738653379349,526.9901117472994,734676.2488390012,857.1325736658251,baseline
726.5659006340289,663.3632319253331,769975.3581888981,877.4823976518834,baseline
607.6456194754377,382.4250824036002,796496.08274169,892.4662922159525,baseline
670.8536103337145,566.3294196897004,730233.7091900968,854.5371315455501,baseline
635.6162026067246,531.8553603108662,735515.9811485659,857.622283495809,baseline
640.6717919751594,531.0352378549334,731929.7745489634,855.5289443081183,baseline
705.5844941229203,609.7440819524998,750786.1907162752,866.4791923158197,baseline
697.5271977003467,589.1532133170335,744945.2000998822,863.1020797680204,baseline
679.8067979814007,549.4154843172325,734381.820526767,856.9608045452062,baseline
672.5953261660022,572.6545982385337,730917.6478001241,854.9372186307742,baseline
694.035633867503,580.2303279664334,742677.4021944935,861.7873300266682,baseline
679.3576569545781,550.7629073976998,734162.4100001625,856.8327783180115,baseline
619.093582478719,479.14603778320054,755091.9993267163,868.9602979001494,baseline
639.8015509086595,527.0321289490332,732470.013965815,855.84462022368,baseline
650.4369984934955,519.2730885791669,728182.8847791192,853.3363257116852,baseline
672.9952618919448,572.8280134918327,731085.9910750045,855.0356665514045,baseline
757.050187211303,741.2675198450331,808101.9061824722,898.9448849526161,baseline
616.6497078178232,466.1747030446005,759558.3940093354,871.5264734988464,baseline
696.0891006256508,585.4780763483664,743991.8586543803,862.5496267777178,baseline
664.9242791876106,560.2208626414681,728505.2358305759,853.5251817202442,baseline
648.4515342528721,512.0627184421668,728570.0462524645,853.5631471967756,baseline
657.0800382098557,543.3978117596334,727643.4560491525,853.0201967416438,baseline
698.2583419122595,591.0216929696996,745440.2474063698,863.3888158914092,baseline
646.5417054148551,504.8826498854671,729122.9512104264,853.8869662961406,baseline
652.8503659048939,528.0374228626667,727852.2907107126,853.1425969383504,baseline
610.8057068103117,413.5745147045003,781119.1899142911,883.8094760265309,baseline
602.366481214732,375.5512435141668,839396.2519639473,916.1857082294764,baseline
603.7308578394001,378.7177767024672,819400.1607567298,905.2072474062113,baseline
804.1078901027942,861.5260939010664,890787.5280410582,943.8154099404492,baseline
636.6257415327538,527.2114812511326,734713.4287656989,857.1542619422124,baseline
723.7636853428116,656.20201507,767079.813768358,875.830927615803,baseline
732.0745111042245,677.440792015833,775966.4257414752,880.8895650088467,baseline
719.7020184643117,645.822199713833,763064.9437946043,873.5358858081357,baseline
642.558563834558,523.205101154834,730868.5513408066,854.9085046604733,baseline
623.9070346373696,502.2305953231004,747975.6724545432,864.8558680234199,baseline
650.5114471415218,519.5434547219999,728170.3899825643,853.3290045360958,baseline
727.7616178115551,666.4189536012334,771242.1194231979,878.203916766031,baseline
622.9751016872972,497.9437037527666,749216.6183076407,865.5729999876618,baseline
626.8936529647465,515.9690396290337,744246.3830415487,862.6971560411849,baseline
629.0730113460364,525.9940881829671,741763.3220225251,861.2568269816647,baseline
734.9049824057159,684.6742186751997,779198.9478473811,882.7224636585279,baseline
604.8007899104169,362.3856923135006,816306.2162937496,903.4966609200886,bo_3_GP_PI
601.436675520081,305.9301175011167,900129.3434466963,948.7514655834246,bo_3_GP_PI
599.7175405500722,373.287707192717,774747.1423541747,880.1972178745935,bo_3_GP_PI
597.9946976293653,301.2247268001207,903469.8473106609,950.510308892366,bo_3_GP_PI
605.8273293868467,361.01468192961227,821328.9637104241,906.2720141935445,bo_3_GP_PI
602.9999675486157,291.84302777253356,933956.1961075295,966.4140914264079,bo_3_GP_PI
612.3556722425591,304.6483313326787,969725.0261674303,984.7461734718396,bo_3_GP_PI
604.3339079377789,379.7481146405768,795984.3559714266,892.1795536613841,bo_3_GP_PI
608.6007801515851,296.74515458476446,958678.914339015,979.1215013158557,bo_3_GP_PI
602.8945127936139,338.79040234793024,866708.6844809524,930.9719031640818,bo_3_GP_PI
599.682339567923,321.8916240226399,886205.40566358,941.3848339885129,bo_3_GP_PI
607.82591832995,364.86172097446956,812626.6894700166,901.4580908006853,bo_3_GP_PI
595.7394713586826,305.39350639414704,888732.7205391442,942.7262171697275,bo_3_GP_PI
606.690755030744,298.40192095816667,956154.6603587985,977.8316114540369,bo_3_GP_PI
601.981095091164,294.531024826515,912807.4960482426,955.4095959577978,bo_3_GP_PI
619.6011111899235,288.32635155180833,990509.2196034703,995.2432966885385,bo_3_GP_PI
604.989794356046,365.2316094221766,844436.7122726406,918.9323763327966,bo_3_GP_PI
603.2888290609293,340.07918726630135,868597.1582274501,931.9855997961826,bo_3_GP_PI
620.5085888306515,296.0238725124269,990570.3212965262,995.2739930775476,bo_3_GP_PI
598.7511861130143,344.5177346380458,845604.3612920794,919.5674859911476,bo_3_GP_PI
662.1561522479233,241.2016117632541,1091445.5022176318,1044.7226915395452,bo_3_GP_PI
602.1012130940467,354.1467050386657,881927.5990681646,939.1100037099832,bo_3_GP_PI
596.7750947983973,329.6390422010926,847144.6955545306,920.4046368606205,bo_3_GP_PI
599.0729707317009,298.0132158649378,906015.3619833906,951.8483923311478,bo_3_GP_PI
602.0290233685217,300.49437274954516,942541.6687339828,970.8458522000199,bo_3_GP_PI
613.518792909951,288.5174241653,976739.4267275681,988.3012833784888,bo_3_GP_PI
609.7410026977752,302.2197717931673,963116.5503286995,981.3850163563226,bo_3_GP_PI
610.8141668074834,436.52623519078486,771493.0150492738,878.3467510324575,bo_3_GP_PI
600.9107309599372,306.4788985177079,935226.0809903019,967.0708769218014,bo_3_GP_PI
601.6894066075973,346.2489262493266,900383.3588828624,948.8853244111548,bo_3_GP_PI
599.5438658174035,283.046542606367,921531.2067758671,959.9641695271065,bo_3_GP_PI
601.6291328221503,303.28778586579165,936854.3405848031,967.9123620373919,bo_3_GP_PI
610.2460410999371,300.4197944058666,963984.0639059581,981.8269011928519,bo_3_GP_PI
598.1243093771919,364.5256497104913,817991.4112636388,904.4287762248825,bo_3_GP_PI
601.5903501829449,294.02304694910333,914417.1643616004,956.251621887043,bo_3_GP_PI
601.387652960093,348.99437895747167,847179.5100234067,920.4235492551278,bo_3_GP_PI
600.7203311873485,287.701193020662,918964.3141936498,958.6262640850447,bo_3_GP_PI
632.4582365658845,255.22194023675968,1024019.6668688948,1011.938568722872,bo_3_GP_PI
611.3933549080198,300.79837942295774,967040.7553976171,983.3823037850626,bo_3_GP_PI
608.8006121388938,370.91157763604815,852335.117194349,923.2199722679037,bo_3_GP_PI
604.3167846273268,301.910702385484,940296.1317186482,969.6886777304602,bo_3_GP_PI
599.3905149426976,322.2148257176983,887780.4813631058,942.221036362013,bo_3_GP_PI
602.9612702979773,301.92334950377574,936237.0710465752,967.5934430568323,bo_3_GP_PI
630.2532307801499,251.39471785793233,1019761.148748284,1009.8322379228562,bo_3_GP_PI
603.9791189371847,345.56625133623584,872173.539836583,933.9023181449883,bo_3_GP_PI
595.7325469122478,319.9546040945718,884424.6845116131,940.438559668633,bo_3_GP_PI
603.8426537313251,355.0256051217249,857923.1504126695,926.2414104393463,bo_3_GP_PI
610.6948236006741,375.0035944224969,861103.4706647808,927.9566103351927,bo_3_GP_PI
600.5610309729282,298.1955672965728,931418.4511386893,965.1002285455585,bo_3_GP_PI
606.4007855578793,347.9148795002827,827438.012092431,909.6361976594989,bo_3_GP_PI
780.7583616043333,698.2230612143159,1068679.193611042,1033.769410270512,bo_3_GBRT_PI
803.5698779069032,575.5518117042434,1199021.6665627912,1094.998477881495,bo_3_GBRT_PI
604.5719034175231,489.6079089982759,796852.7150568198,892.6660714157449,bo_3_GBRT_PI
762.9286246029027,590.7079878201077,1169067.011279725,1081.2340224390487,bo_3_GBRT_PI
869.5553260852729,687.2191975325827,1466697.2289122562,1211.0727595451299,bo_3_GBRT_PI
677.6546126897618,463.7465578975938,1047473.8036407379,1023.4616766839576,bo_3_GBRT_PI
709.009696504966,560.636087112591,1086809.8037040476,1042.501704413018,bo_3_GBRT_PI
856.3581476926096,735.7163951797834,1276374.413271874,1129.7674155647585,bo_3_GBRT_PI
772.7215879715616,552.6266329268335,1077918.6269958979,1038.228600548019,bo_3_GBRT_PI
664.3917544935118,531.4669595175997,912700.6496749873,955.3536777942436,bo_3_GBRT_PI
695.1055049245688,519.100733559168,1053326.4167262656,1026.31691826953,bo_3_GBRT_PI
729.4291792306554,625.0018246330562,1036467.1794540321,1018.0703214680369,bo_3_GBRT_PI
656.1396079361126,487.21228770278253,871223.217840909,933.3933885778863,bo_3_GBRT_PI
763.9012441838064,561.8038833009534,982128.5276121055,991.0239793325414,bo_3_GBRT_PI
678.8860720215631,465.78278554536155,1005115.9498536976,1002.5547116510388,bo_3_GBRT_PI
705.4978612569734,446.0395509024306,1105191.390059337,1051.2808331075655,bo_3_GBRT_PI
738.4628427266017,575.0507576686091,1141107.4914499756,1068.2263296932797,bo_3_GBRT_PI
718.9312187581705,559.7130721512591,1084780.1897283061,1041.5278151486432,bo_3_GBRT_PI
713.9075311566844,542.5993815180681,1095334.6778301136,1046.5823798584197,bo_3_GBRT_PI
650.6784977219273,473.2573371349447,930249.60863977,964.4944834677749,bo_3_GBRT_PI
782.0859989270087,555.5487064020297,1226453.6036711186,1107.4536575726854,bo_3_GBRT_PI
720.003010775078,435.9226205745639,1161596.442852348,1077.7738365966898,bo_3_GBRT_PI
688.7369524277229,495.4172215886076,942834.0456703536,970.9964189791606,bo_3_GBRT_PI
729.7104480229725,523.9856306885388,1144508.0481217492,1069.8168292384212,bo_3_GBRT_PI
673.7072053447366,496.37620916942046,1001076.2426775141,1000.5379766293302,bo_3_GBRT_PI
741.6545621163663,602.7434270405943,1039448.9848833762,1019.5337095375396,bo_3_GBRT_PI
660.7446418698042,380.2431247147982,1075643.857327176,1037.1325167630105,bo_3_GBRT_PI
751.8567655522658,539.6684770059935,1175344.4068978718,1084.1330208502422,bo_3_GBRT_PI
796.6222973641194,654.738033594117,1153841.6372118464,1074.1702086782366,bo_3_GBRT_PI
792.861996375664,587.9423482411398,1237066.820423157,1112.2350562822396,bo_3_GBRT_PI
711.1858073439965,483.2281482059348,1095731.7385112406,1046.772056615594,bo_3_GBRT_PI
787.1191023780511,665.7097532389678,1120401.1349372526,1058.4900259035285,bo_3_GBRT_PI
732.3237852321864,599.6956940321932,1086342.5912140762,1042.2775979623068,bo_3_GBRT_PI
706.0109568179817,606.1727768368038,925514.6030637361,962.0366952792061,bo_3_GBRT_PI
673.3299035429237,394.09868935075974,1062630.5305253104,1030.8397210649725,bo_3_GBRT_PI
711.8732618332364,504.8532954664023,1098810.9649225303,1048.2418446725594,bo_3_GBRT_PI
733.6133169149682,597.0035506818963,1034045.9088117011,1016.8804791182203,bo_3_GBRT_PI
681.2652704893853,476.42935674011926,1020597.4561050198,1010.2462353827506,bo_3_GBRT_PI
724.5405678811343,566.0269243737234,962108.1597950535,980.8711229285188,bo_3_GBRT_PI
653.6806180294628,422.18310956505536,1031355.4714060274,1015.5567297822547,bo_3_GBRT_PI
719.6803009974938,517.2630173071296,1093767.759530573,1045.83352381274,bo_3_GBRT_PI
833.8974629049344,740.3588359238735,1235672.1639867644,1111.6079182817853,bo_3_GBRT_PI
768.320524709795,544.3308998854144,1184895.2656578599,1088.5289457142883,bo_3_GBRT_PI
767.8914954975672,699.5733682825677,1111438.7117995324,1054.2479365877518,bo_3_GBRT_PI
652.780562238725,473.5689999930619,942131.6754309777,970.634676606486,bo_3_GBRT_PI
650.6528704519816,526.0206008852217,732566.7733076729,855.9011469250833,bo_3_GBRT_PI
760.8278331104875,650.0521778077632,1012821.5036608529,1006.3903336483578,bo_3_GBRT_PI
778.5099590622071,618.1247724862493,1172395.6463332658,1082.772204267022,bo_3_GBRT_PI
658.036242580151,426.9002007220396,1055044.3888499693,1027.1535371355,bo_3_GBRT_PI
642.4277037620959,430.41066438069424,861979.3077875882,928.4284074647803,bo_3_GBRT_PI
679.6091855277937,414.14756767268517,1062150.6620183904,1030.6069386620636,bo_3_RF_PI
786.0743857211751,596.4373098429264,1234049.7076268503,1110.8778995131959,bo_3_RF_PI
631.3739469294081,415.0792891322518,890197.5314427366,943.5027988526248,bo_3_RF_PI
679.8119680024779,500.5304697744698,984528.6349527756,992.2341633670832,bo_3_RF_PI
686.0961009955437,475.39572312089217,1042076.6237354883,1020.821543530253,bo_3_RF_PI
816.0827339438863,620.9646964192799,1262878.3376335613,1123.778598138246,bo_3_RF_PI
622.2505145366733,558.0338358621505,761120.172178661,872.4220149552973,bo_3_RF_PI
747.2354268425947,627.6600780332695,1063777.4209488013,1031.3958604477727,bo_3_RF_PI
760.9081534981927,518.0040820059244,1172314.4520288168,1082.7347099030385,bo_3_RF_PI
725.3076546365327,509.2294311568494,1145622.0993847903,1070.3373764308103,bo_3_RF_PI
633.7227552565957,527.8190959462875,794894.02769555,891.5682967084182,bo_3_RF_PI
815.7088810510359,708.6337680994197,1219240.8493121504,1104.1923968730043,bo_3_RF_PI
699.1206206974251,528.9433006465024,1027493.940638078,1013.6537577684394,bo_3_RF_PI
750.5193090155773,551.7294590963768,1099112.6310281283,1048.3857262611546,bo_3_RF_PI
643.6474894602054,612.1320514875291,765076.1206428494,874.6862984195244,bo_3_RF_PI
718.0643143371032,539.2417823794199,1112760.931357149,1054.8748415604332,bo_3_RF_PI
741.6188143164504,418.6171686467115,1183287.6874742042,1087.7902773394346,bo_3_RF_PI
731.8312354930462,529.4646398889815,1128712.266454275,1062.4087097036972,bo_3_RF_PI
779.231888069894,619.8114417756333,1191692.0781945058,1091.6464987323075,bo_3_RF_PI
620.7022276172489,528.7988425016688,799405.8261763388,894.0949760379704,bo_3_RF_PI
751.1042841646371,601.0557917807316,1074549.709782104,1036.6048956965735,bo_3_RF_PI
639.3960655473335,338.1516600717172,986356.0186238501,993.1545794204698,bo_3_RF_PI
619.6033407814966,502.5327465466478,792010.3935689614,889.9496578846251,bo_3_RF_PI
767.5957183098748,586.3087066269212,1159519.210129332,1076.809737200278,bo_3_RF_PI
718.3760842402443,466.3452442840942,1101439.7983145746,1049.495020624002,bo_3_RF_PI
726.333807457867,525.2665290979439,1147225.0979844593,1071.085943323158,bo_3_RF_PI
715.9805110377913,525.4031879460766,1120016.8543346173,1058.308487320506,bo_3_RF_PI
661.423861488319,442.3246039019225,996792.6495370276,998.3950368151013,bo_3_RF_PI
646.1452303718575,576.8273185775216,764646.0826355971,874.4404397302295,bo_3_RF_PI
698.3209209387901,385.3581206911405,1087216.0744328452,1042.6965399543844,bo_3_RF_PI
753.3087276497383,536.7304409123205,1183875.5742779349,1088.060464440251,bo_3_RF_PI
659.1012568973847,563.5173026035847,858378.5908308395,926.4872318768562,bo_3_RF_PI
616.2289485559193,429.5184613595982,848121.7564419247,920.9352618083014,bo_3_RF_PI
675.5742716742603,563.4922757110737,890205.5863822051,943.507067478673,bo_3_RF_PI
614.1057451685922,495.627014259549,784464.2050112037,885.6998391166184,bo_3_RF_PI
653.5488974749895,397.5355933310608,947421.1126838845,973.3555941606769,bo_3_RF_PI
619.5242959856248,460.62404139577916,831467.7074590902,911.8485112446531,bo_3_RF_PI
632.2237783417507,464.70726031013123,875068.1793757505,935.4507893928736,bo_3_RF_PI
699.2716810641792,587.5261027741058,1031363.8537669722,1015.5608567520571,bo_3_RF_PI
717.345003130209,520.7172149137484,1107814.20135019,1052.5275299725845,bo_3_RF_PI
599.2846008499831,532.4372723808275,720213.9989884573,848.6542281686088,bo_3_RF_PI
754.6242983428026,529.7458063927517,1143923.7307638752,1069.5437021290318,bo_3_RF_PI
704.1403595722923,477.45713836057223,1098977.2854806173,1048.321174774514,bo_3_RF_PI
730.191978381251,572.6623217676017,1138358.4505231106,1066.9388222963446,bo_3_RF_PI
833.6317576410472,743.9511405865945,1162250.4500371031,1078.0772004068647,bo_3_RF_PI
869.3396877111567,810.030266579288,1335992.9585254989,1155.8516161365606,bo_3_RF_PI
600.5896193634943,508.39639551351274,746987.0780118832,864.2841419416899,bo_3_RF_PI
708.3818789852562,457.6677662260072,1079146.9032607796,1038.819957095925,bo_3_RF_PI
719.0625964640568,532.8042585606648,1115185.2595893904,1056.023323411652,bo_3_RF_PI
596.247932623349,393.497473881131,791069.5281034879,889.4208947981197,bo_3_RF_PI
675.6743630981023,452.3875602843427,901654.3114083855,949.5547964221894,bo_3_ET_PI
718.8138644654281,554.3175722071134,1028550.1409072854,1014.1746106599619,bo_3_ET_PI
694.2166443899893,566.5337008711235,1028313.243681644,1014.0578108183201,bo_3_ET_PI
732.9396898551107,636.9414173328751,1078443.5887761458,1038.4813858592488,bo_3_ET_PI
619.2519816729583,507.6995425337667,799930.9324265458,894.3885802192165,bo_3_ET_PI
781.6682549145671,598.6978086167762,1124231.5070756983,1060.2978388526963,bo_3_ET_PI
616.9856392687813,321.6040101019827,905947.3744353659,951.8126782278989,bo_3_ET_PI
678.0266982916282,627.5069765269909,803679.6109106261,896.4817961958994,bo_3_ET_PI
637.7779152170111,488.63027924039807,941411.3032043226,970.2635225567963,bo_3_ET_PI
660.8821800686383,501.81958503009093,871644.1480840783,933.618845184735,bo_3_ET_PI
682.4276664960919,543.7653938058124,937960.893110324,968.483811485935,bo_3_ET_PI
697.1213904181529,580.0598531575281,916849.6268581662,957.5226508329534,bo_3_ET_PI
653.767952826793,583.1695698915472,803920.7789971227,896.6162941844871,bo_3_ET_PI
644.5045807793225,574.7864011801582,801813.7559265185,895.4405373482476,bo_3_ET_PI
626.2945926415479,530.6542248069671,678943.6021764736,823.9803408919861,bo_3_ET_PI
663.9112331789837,427.6166795451601,1052300.7759921057,1025.8171259986382,bo_3_ET_PI
738.503608137606,698.1761432264047,829736.3524421932,910.8986510266624,bo_3_ET_PI
629.5889135596809,463.0241405996379,933110.2889387317,965.9763397406438,bo_3_ET_PI
713.1310771985812,575.583094678489,995730.5467199623,997.8629899540128,bo_3_ET_PI
675.9898655861492,526.0627586499133,861266.9432690279,928.0446881853416,bo_3_ET_PI
636.3808493201177,448.74135015401055,967656.1613949075,983.6951567405969,bo_3_ET_PI
673.4489927336085,455.5820212805065,1000545.1087032299,1000.2725172187977,bo_3_ET_PI
1339.3033038703088,1158.7889975704427,2411267.0414097435,1552.8255025629066,bo_3_ET_PI
649.7429515499746,505.2286159073176,986218.6793561908,993.0854340670751,bo_3_ET_PI
691.1252716136601,526.1098000715158,999822.1176395977,999.9110548641803,bo_3_ET_PI
637.4089724193836,458.08544183303,922500.4532494717,960.4688715671485,bo_3_ET_PI
640.7453785300479,415.73654150034156,947461.0872967594,973.3761283783157,bo_3_ET_PI
731.9962997471645,556.0436132719083,1063523.55787826,1031.2727853862236,bo_3_ET_PI
