ae,mae,mse,rmse,algorithm
714.2515432766428,333.94066216573356,947131.4285779538,973.2067758590431,baseline
648.9323236085023,269.9053341853337,940345.5417854298,969.7141546793208,baseline
726.7536046425845,355.78662592273304,955841.6078185232,977.6715234773503,baseline
688.4574912579229,262.74907859406676,936685.4830393958,967.8251304029028,baseline
619.2451844289233,432.13903092096643,989806.4010090404,994.8901451964635,baseline
684.3601318122346,251.440366523967,935959.1270946446,967.4498059820181,baseline
620.0812847671001,433.61828536543317,990499.5605504126,995.2384440677583,baseline
721.2147219332847,346.3156920539345,951688.8739499043,975.5454238270529,baseline
746.4662307220411,410.193473902033,974412.8344108948,987.123515276024,baseline
834.6476468343858,606.6059969686003,1090720.3256372972,1044.3755673306885,baseline
694.2605402398067,278.7654937840666,938151.864243384,968.582399304976,baseline
639.1745959292857,298.87777098263314,945317.5851873951,972.2744392337974,baseline
726.9349068858572,356.2870201141659,955985.4378320383,977.7450781425791,baseline
643.8943222986693,475.7490440751326,1012078.8132823885,1006.0212787423477,baseline
678.634842672669,235.63856849876584,935372.5760894143,967.1466156118287,baseline
700.4462762006644,295.8381250360335,940279.8642859431,969.6802897274664,baseline
674.3536995910144,223.82261359339964,935260.3067433508,967.088572336242,baseline
620.0902174843685,365.583841200767,963147.543408442,981.400806708677,baseline
804.8427752387021,540.2661214814334,1042807.5518584243,1021.1794905198715,baseline
610.4782867949655,400.49032633596653,976024.6834885266,987.9396153047647,baseline
627.3678181060261,339.1546599958001,955018.7656330671,977.2506155705747,baseline
645.9649875155193,278.09518180196665,941580.8189065511,970.3508741205684,baseline
668.8164519511113,215.02513995973231,935529.2421198869,967.2276061609733,baseline
629.9755436293909,329.68449888463283,952446.0170349238,975.9334080944886,baseline
643.8197342426274,475.6170805913662,1012005.6796604254,1005.9849301358472,baseline
697.0057937617635,286.3423935046667,939024.3306795673,969.0326778182289,baseline
725.7536622620049,353.02678495233295,955057.3350218434,977.2703489934827,baseline
732.9838728608453,372.9821662051331,961071.2628182627,980.3424212071325,baseline
686.7428716968116,258.01672860539975,936350.4036538092,967.6520054512414,baseline
689.3464716133695,265.20266437509963,936876.8432614895,967.9239863034129,baseline
652.4109791410584,490.81697541166704,1020658.4300574352,1010.27641269973,baseline
636.8253743690115,306.596641823533,946925.4583293896,973.1009497114827,baseline
620.6904176305884,434.69598197006644,991007.3108880209,995.493501178195,baseline
750.9400226913606,420.28902710186685,978510.0366829846,989.1966622886395,baseline
705.8205109527418,310.6710129517669,942601.9448819438,970.8768948131085,baseline
651.651313994722,262.4009207193667,939331.4251227506,969.1911189867304,baseline
739.4974224824274,390.9595631606994,967171.0206212886,983.4485348106878,baseline
762.8109816359204,446.7114841074999,990198.2822843462,995.0870727149188,baseline
714.3509783346377,334.2151029257998,947191.3104779891,973.237540623043,baseline
822.4254802350299,579.4018196990664,1070007.9467495396,1034.4118844781026,baseline
784.9563143795568,496.0027086014006,1015734.7824527714,1007.836684415075,baseline
691.5741103588889,271.35094731273284,937409.247267618,968.1989709081589,baseline
660.1460500321257,238.9554492561333,936888.7317709887,967.93012752522,baseline
641.2634326096406,292.01445046146637,943988.0090153934,971.5904533368952,baseline
755.1179448097137,429.58827310723336,982464.4208411732,991.1934326059536,baseline
632.3722201465391,321.22843426879945,950300.3522763052,974.8334997712712,baseline
662.2137713662319,233.24853837399996,936460.5207592029,967.7089029037621,baseline
618.8803632263606,369.9775224535324,964634.3262222318,982.1579945315477,baseline
697.5453204597916,532.4849752342675,1073706.1624549467,1036.1979359441643,baseline
743.078611508974,400.8436448739676,970800.0895319775,985.2918803745303,baseline
609.9829329396564,409.86128453355013,983784.3414456208,991.8590330513812,bo_3_GP_PI
910.2126275434545,530.6052381296176,1454757.1977011717,1206.13315919146,bo_3_GP_PI
627.5797581444766,449.8020419138429,993241.0971312366,996.6148188398748,bo_3_GP_PI
634.7691296930235,444.872995261268,1000608.7719348161,1000.304339656095,bo_3_GP_PI
711.3007700189398,370.7249805399065,947156.7682487498,973.2197944188916,bo_3_GP_PI
694.5488462166169,309.281310754744,932444.1150170213,965.6314592105113,bo_3_GP_PI
698.9003195099685,338.8817608242862,943241.3195984365,971.2061159189827,bo_3_GP_PI
