ae,mae,mse,rmse,algorithm
1365.5834594172625,1075.330526476033,3696742.2212695307,1922.6914004253335,baseline
1387.6645733807088,1297.6210642327,3434185.8310709856,1853.1556413509863,baseline
1618.1278479469909,1479.5647904592329,3702283.400490166,1924.1318563160287,baseline
1375.757780249423,1192.991289391167,3528719.609910964,1878.4886504610465,baseline
1496.892698711746,1230.6797994688995,3368782.6620675316,1835.4243820074778,baseline
1445.4215353135576,1296.373392212233,3315863.583232394,1820.9512852441699,baseline
1473.8696986695795,1281.3805565210669,3331253.0135751744,1825.1720504037899,baseline
1375.6885656383345,1192.3090310818668,3529349.678183404,1878.6563491451554,baseline
1538.6231373413348,1293.4790194207335,3462621.9947563214,1860.8121868572125,baseline
1412.1563495355517,1380.8568504522668,3341901.050499477,1828.0867185392156,baseline
1510.6058644185532,1293.632600620167,3401721.2552705207,1844.3755732687746,baseline
1376.8038794207791,1203.302838365967,3519310.2164478493,1875.982466988391,baseline
1511.464095265274,1296.7493336951002,3403557.93467137,1844.8734196880202,baseline
1404.2249638583248,1429.565132286933,3360805.963033518,1833.2501092413763,baseline
1453.7454212258408,1305.254909669733,3316821.94736541,1821.2144155385467,baseline
1487.1013236091953,1220.5150817988333,3350080.4019100894,1830.3224857685843,baseline
1528.739150895579,1323.1309787580003,3440779.056921577,1854.933706880539,baseline
1487.8062114006377,1217.2725979582,3351291.261586079,1830.6532335715792,baseline
1492.0674302396449,1208.4835644972336,3359058.984906397,1832.7735770973993,baseline
1495.696822763326,1225.1787701061667,3366280.9425648334,1834.742745608995,baseline
1488.8921002300942,1212.2775093427008,3353197.7541023633,1831.1738732579065,baseline
1385.0911222951622,1272.2541892465997,3452283.9469313826,1858.032278226453,baseline
1409.283067276489,1398.8801664409336,3348047.329835069,1829.7670151784541,baseline
1441.7804166100873,1279.6242461762665,3316366.2224655948,1821.0892955771264,baseline
1455.8859136188407,1315.1011746775332,3317542.3524858337,1821.4121863229734,baseline
1596.4066605254463,1414.4012281946002,3625510.255136692,1904.0772713145577,baseline
1371.91376270608,1179.1739567433003,3579343.5766715617,1891.9153196355173,baseline
1487.533377752703,1218.5276327387005,3350820.0923011797,1830.524540207309,baseline
1468.5242478073335,1305.9696304874,3325748.175642616,1823.6633942815806,baseline
1445.2085866066159,1295.3938281602998,3315877.5324796056,1820.9551154489245,baseline
1437.94209601158,1261.9679714231338,3317503.556051103,1821.4015361943405,baseline
1502.5306400364784,1256.614329562667,3381392.2520015175,1838.8562347289462,baseline
1403.4294548967287,1423.4662302480338,3363430.3119095657,1833.9657335701684,baseline
1471.53055082942,1292.1406365858002,3328695.3175112456,1824.4712432678257,baseline
1367.646921912104,1120.2915537864335,3643264.787666483,1908.7338179186963,baseline
1363.7300523736108,1008.1827135491334,3815350.3303644806,1953.292177418545,baseline
1372.2029670438574,1178.1674108103664,3575261.957997453,1890.8363117936606,baseline
1748.8266549809928,1802.4560350205002,4208000.660971537,2051.3411859004677,baseline
