ae,mae,mse,rmse,algorithm
315.6017000000001,175.46803333333338,237492.56651357794,487.3320905846217,baseline
331.88632608695656,252.73569999999984,218661.33673408424,467.61237872203964,baseline
398.88634202898555,384.6471333333333,231404.99923085835,481.0457350718935,baseline
323.6005869565217,214.62130000000002,225365.52546511032,474.72679033851705,baseline
377.60008985507255,330.2489333333335,219976.01419904214,469.01600633564965,baseline
366.6970193236714,313.77966666666657,216356.1095176184,465.14095661166886,baseline
377.58156811594193,330.20159999999987,219968.64662110203,469.0081519772359,baseline
321.06657971014494,202.96486666666658,227996.00143822073,477.4892684011032,baseline
389.23635942028983,359.98606666666683,225490.3945080016,474.8582888694285,baseline
336.207095652174,262.3904000000001,216741.2767983976,465.5548053649512,baseline
390.4563028985507,363.1037,226170.94982274508,475.5743367999845,baseline
317.0504260869565,186.5749333333335,234205.02950035222,483.9473416605904,baseline
357.55957487922717,312.54866666666646,214398.99167719806,463.0323872875396,baseline
338.7369777777778,269.54286666666667,215848.887029583,464.5954014296558,baseline
338.7691400966184,269.6596666666668,215838.62884241546,464.5843613838239,baseline
375.4613246376812,324.78319999999997,219154.87163699075,468.13979924483107,baseline
370.1837507246378,315.3109333333333,217384.25665252336,466.24484624768064,baseline
366.0546637681161,311.85260000000005,216169.41377964112,464.94022602872417,baseline
363.08869710144944,302.9547000000001,215403.69768338857,464.1160390283755,baseline
379.0631246376812,333.9878,220572.13631519073,469.6510793293152,baseline
367.56576376811597,316.3859,216620.41829529117,465.4249867543546,baseline
329.3855434782609,241.23210000000006,220378.65946252595,469.44505478546256,baseline
337.69095893719816,267.2168333333334,216197.3890551293,464.970309864113,baseline
345.88084927536227,295.4864,214240.38247341508,462.86108334295625,baseline
360.23145265700487,304.53303333333326,214815.79516602436,463.4822490301267,baseline
410.5320028985507,414.40826666666646,240162.4484741261,490.06371878983873,baseline
323.21097101449277,212.82906666666656,225752.29499514648,475.1339758374963,baseline
377.28520724637684,329.4442333333334,219851.36963858202,468.883108715362,baseline
352.9787444444444,311.64396666666653,213975.39649156632,462.57474692374456,baseline
346.35813478260866,297.2197,214180.88976187547,462.79681260989196,baseline
348.7868396135265,298.04126666666673,213971.23717327983,462.5702510681808,baseline
371.9191333333334,315.7309333333334,217926.3282841668,466.825800791009,baseline
346.7362072463769,298.59270000000004,214138.02871342332,462.75050374194444,baseline
347.9603671497585,301.0426666666667,214025.11654003864,462.6284865202732,baseline
319.10995314009665,192.3114333333334,230637.809775011,480.2476546272881,baseline
314.1533053140097,172.3998666666667,241266.85596598007,491.1892262315818,baseline
313.67510386473435,167.68616666666668,242848.205425535,492.79631230918824,baseline
433.82709855072454,469.13159999999993,260888.49444231935,510.7724487893991,baseline
336.99203429951694,265.24096666666674,216446.3340484243,465.2379327273565,baseline
388.259415942029,357.4894333333334,224959.41546966025,474.2988672447577,baseline
391.7543246376811,366.4208666666667,226916.40702950186,476.3574362067857,baseline
383.9678246376812,346.5220333333334,222774.55597321852,471.9899956283168,baseline
343.1041599033816,285.40263333333337,214705.6519539605,463.3634124032243,baseline
331.9732072463769,253.09170000000006,218612.4130502233,467.56006357496284,baseline
347.81892270531404,301.5563333333332,214036.14315437197,462.64040372018087,baseline
391.73882898550715,366.38126666666676,226907.37804516102,476.34795900177954,baseline
333.0470101449276,256.9913,218093.10145319722,467.00439125686734,baseline
333.2677681159421,257.793,217990.10771298548,466.8941076014833,baseline
334.93068115942043,257.755,217255.5933327681,466.1068475497524,baseline
389.5135985507246,360.6945666666667,225643.34772337042,475.01931300039837,baseline
312.4779491211832,170.17656666666682,238442.63004899892,488.3058775491023,bo_3_GP_PI
316.6445254563463,105.63486398792088,285916.2975588397,534.7114152127666,bo_3_GP_PI
310.0628735981026,142.58590516057137,250123.24828076427,500.12323309436874,bo_3_GP_PI
316.3397488125871,177.15989667239296,237629.62658073675,487.4726931641779,bo_3_GP_PI
312.24091420731077,135.72837168223685,255844.39209771572,505.81062869192033,bo_3_GP_PI
327.57955288515643,128.97856965051056,301578.01598190155,549.1611930771343,bo_3_GP_PI
311.2964895597021,109.9049001220115,269372.10780171136,519.0107010473978,bo_3_GP_PI
310.79582149576606,129.85670645746222,259545.3850928824,509.4559697293598,bo_3_GP_PI
