ae,mae,mse,rmse,algorithm
298.6299106280194,155.53816666666683,462070.7275330519,679.7578447749256,baseline
382.2588516908213,318.06063333333327,452072.09441656526,672.3630674096885,baseline
307.61314782608696,184.21193333333326,456410.12160982954,675.5813212410698,baseline
362.6004613526569,288.8158333333332,449843.28200511966,670.703572381361,baseline
298.55359951690826,155.22843333333333,462140.85041725653,679.8094221303913,baseline
417.92258792270513,367.04103333333313,460334.8494218581,678.4798076743759,baseline
353.9977816425121,275.0115333333332,449385.4877435153,670.3622063806366,baseline
305.4826898550726,178.0772666666668,457482.92146094446,676.3748379862637,baseline
359.8101352657004,284.33833333333325,449653.03319234774,670.5617295912045,baseline
288.86597342995174,109.45823333333328,481403.6722792159,693.8325967257634,baseline
364.18425314009653,291.35726666666665,449969.10556650965,670.7973655035547,baseline
356.90287826086967,279.67320000000007,449497.46344955894,670.4457199875012,baseline
293.91926811594203,139.22249999999997,466759.0138899602,683.19763896691,baseline
320.48297826086963,213.8515,451942.04866749636,672.2663524731074,baseline
543.0208855072465,527.1094333333333,524571.9728454129,724.2734102846887,baseline
345.1983821256038,260.89156666666656,449311.51469107275,670.3070301668279,baseline
413.94118840579716,361.19599999999997,459140.55228707247,677.5991088298983,baseline
339.38737874396134,251.56693333333328,449481.2761951773,670.4336478691812,baseline
487.35603623188405,451.79816666666665,488917.1040273998,699.2260750482635,baseline
349.1129816425121,267.17313333333334,449295.1857403154,670.2948498536412,baseline
578.1854594202902,574.6850333333334,552942.2671863394,743.6008789574817,baseline
288.55124396135267,105.11496666666665,482979.144499205,694.9670096480876,baseline
319.72760434782595,211.9210999999998,452144.53141773166,672.4169327268103,baseline
290.0473743961353,120.53443333333337,475826.42580395984,689.8017293425407,baseline
295.9055333333334,147.2844,464693.0286445223,681.6839653714339,baseline
458.2586144927536,412.4310666666666,474793.95886877057,689.0529434439494,baseline
305.937963768116,179.57316666666668,457214.38681305194,676.1762986182316,baseline
348.1390420289855,265.61029999999994,449291.87373635086,670.2923792915677,baseline
294.6151265700483,142.04686666666674,466020.43399606814,682.6568933190875,baseline
291.53395217391306,128.3426333333333,469753.23011255375,685.3854609725491,baseline
326.5201898550724,228.13303333333317,450675.5670106119,671.3237423260196,baseline
419.6239710144929,369.3786666666668,460831.6187059324,678.8457989160222,baseline
332.4539173913044,239.43870000000004,449962.2645805306,670.7922663392376,baseline
474.9612623188405,435.0287666666666,482522.04754964676,694.638069464701,baseline
287.3342898550724,92.49900000000002,491490.44695095654,701.0637966340556,baseline
286.4616985507247,85.8766,500138.75474880927,707.2048888043756,baseline
297.83471304347825,152.31060000000002,462810.858391186,680.302034681057,baseline
391.55776763285024,330.80276666666657,453698.1182508622,673.5711679183293,baseline
290.7443260869565,122.73849999999993,472785.5128937572,687.5940029506927,baseline
361.6678806763284,287.3193666666665,449775.23617365706,670.6528432606971,baseline
360.47235603864743,285.4009666666666,449694.5556930311,670.5926898595235,baseline
301.8739869565217,166.2201,459769.7756826188,678.0632534525217,baseline
378.6394202898551,312.74700000000007,451539.9689464927,671.9672380008512,baseline
313.862852173913,196.9333999999999,453970.1787018644,673.7730914053071,baseline
391.9356067632849,330.24806666666666,453772.0680612644,673.626059517641,baseline
431.45675942028976,378.4317333333332,464527.41095574264,681.5624776612506,baseline
379.6257618357488,314.1950333333333,451679.38245422335,672.0709653408808,baseline
290.04877777777784,120.5150666666666,475820.11673071363,689.7971562210978,baseline
289.5949082125604,119.5175333333334,477899.65156622825,691.3028652958327,baseline
301.70565217391317,165.66700000000003,459883.31444823183,678.146971126637,baseline
280.0468916430475,80.85144331521644,504205.6964329899,710.0744302064326,bo_3_GP_PI
287.47543780354886,90.59033465856265,501731.385366324,708.3299975056287,bo_3_GP_PI
283.44905016289425,87.23029923072477,502551.4824145113,708.908655903221,bo_3_GP_PI
293.8340165171035,141.0886864557349,462744.26226996444,680.253086924245,bo_3_GP_PI
284.8534304019266,94.90886666666665,505372.3722356732,710.8954720883185,bo_3_GP_PI
293.27874959798555,140.7746772712896,457170.6915674686,676.1439873040864,bo_3_GP_PI
284.8411804584617,90.92788518745436,502924.1347609035,709.1714424318731,bo_3_GP_PI
284.2090690322302,77.7654062253311,512995.67480109393,716.2371637949918,bo_3_GP_PI
271.2752295532082,71.10733372365405,492441.5540607209,701.7418001378576,bo_3_GP_PI
284.9638502315306,86.63879373827109,499174.5240575464,706.5228404358534,bo_3_GP_PI
290.21656995082276,126.53106666666667,468762.5523610068,684.6623637684539,bo_3_GP_PI
282.4990202225358,87.39766430870634,499858.5076768051,707.0067239261626,bo_3_GP_PI
304.7589021205725,184.7322987870666,447756.8903593282,669.1463893344477,bo_3_GP_PI
285.21052780750153,82.98259358489327,511276.3433974087,715.0359035722673,bo_3_GP_PI
280.04934539887677,79.17253594660622,504804.52140212135,710.4959686037081,bo_3_GP_PI
294.1402539853969,150.81936666666667,454246.01369298605,673.9777545980179,bo_3_GP_PI
298.3969442758978,156.6096666899316,458987.25110412395,677.4859785295367,bo_3_GP_PI
278.6354451565955,77.46807492369038,501440.68775429047,708.1247684937242,bo_3_GP_PI
294.6073606022724,106.44293693993473,519275.6528816871,720.6078357065562,bo_3_GP_PI
291.7894117428489,143.38311155744043,455975.4609963639,675.2595508368348,bo_3_GP_PI
291.1265006890507,136.7559042220695,457602.1421247919,676.4629643408366,bo_3_GP_PI
289.7030436714856,68.33140785903208,516278.78175619524,718.525421788398,bo_3_GP_PI
294.5626150068903,144.4432333333334,462646.98044688697,680.1815790264295,bo_3_GP_PI
283.2545398496411,75.79674684122273,514827.15254544746,717.5145660859071,bo_3_GP_PI
296.7926006462754,151.26659998553828,460210.96009114914,678.3885023282376,bo_3_GP_PI
286.60035891695,117.85942983461473,466255.5008108727,682.8290421554085,bo_3_GP_PI
284.5437363863734,82.0537333433519,498591.1924154726,706.1099010886851,bo_3_GP_PI
273.70352306074045,71.6967632238497,492657.2715431843,701.8954847719027,bo_3_GP_PI
295.73724552940587,147.4616666942128,460984.7158882758,678.9585524082275,bo_3_GP_PI
288.44185594068716,125.90986462252397,462767.19221411506,680.2699406956881,bo_3_GP_PI
284.8933298958264,86.33996429716632,499816.559830669,706.9770574995125,bo_3_GP_PI
276.89256735089083,69.71856252836437,503819.7552339049,709.8026170942911,bo_3_GP_PI
288.2472956996052,111.40738560051756,476975.2894939397,690.6339764983618,bo_3_GP_PI
285.94056388342887,117.62411472726325,466252.9611404914,682.8271824850644,bo_3_GP_PI
