ae,mae,mse,rmse,algorithm
372.3981,225.1936666666664,392288.6439990635,626.3295011406245,baseline
374.0239571428571,238.3359999999999,386948.9763035715,622.052229562415,baseline
438.97910476190475,392.82766666666663,372174.742063254,610.061260910127,baseline
399.28076666666664,307.7476666666667,364916.22909420636,604.0829654064137,baseline
378.73726190476185,268.66166666666675,377221.50330611115,614.1836071616623,baseline
414.4288142857143,342.98966666666655,365021.05007877783,604.169719597712,baseline
383.16031904761905,281.38500000000005,371891.66171420633,609.8292070032447,baseline
445.13829047619043,405.9046666666666,375014.25269306346,612.3840728603769,baseline
370.3794,211.67999999999995,406702.03776128567,637.7319482049536,baseline
402.6101,318.34099999999995,364556.2731764285,603.7849560699807,baseline
497.98882857142877,494.2386666666669,411114.2584271589,641.1819230352326,baseline
371.9340142857143,221.60500000000002,394125.70100087306,627.7943142470097,baseline
390.67229999999995,299.625,367101.2734033493,605.8888292445647,baseline
405.6884238095238,327.66499999999996,364423.14919763483,603.674704785313,baseline
445.89021904761904,407.555,375391.18497877783,612.6917536402607,baseline
386.2554285714286,289.77000000000004,369488.0936009682,607.8553229190053,baseline
375.00093809523815,247.01633333333336,384418.52190496825,620.0149368402089,baseline
393.5702619047618,293.4156666666666,366106.9805947778,605.0677487643659,baseline
434.1046238095237,381.04066666666637,370237.66423811106,608.4715804687274,baseline
395.4591285714285,299.88066666666674,365617.6330462064,604.6632393706486,baseline
450.6492571428572,415.05700000000013,377929.6389412858,614.7598221592607,baseline
412.3104142857143,336.81099999999986,364756.155045,603.9504574424959,baseline
385.9758571428572,289.0506666666666,369675.56395001593,608.0095097529445,baseline
412.9923571428572,338.8000000000001,364833.09524785704,604.014151529463,baseline
401.06025238095236,313.40966666666674,364695.9160906825,603.900584608661,baseline
394.8548285714286,297.86633333333344,365761.13645496825,604.7818916394308,baseline
455.66087142857145,427.1540000000001,380888.1158241429,617.1613369485672,baseline
402.95151904761906,319.42733333333337,364532.0481500159,603.7648947645233,baseline
373.5738571428571,233.83499999999992,388320.4181435714,623.1536071817055,baseline
379.7959285714286,271.1090000000001,375599.450587,612.8616896062275,baseline
407.3683857142857,327.66499999999996,364431.1047712857,603.6812940379101,baseline
387.1687857142858,291.07266666666675,368899.35820039693,607.370857220197,baseline
505.17635714285694,506.93199999999985,416761.1736627142,645.5704250217123,baseline
395.14192857142854,298.8233333333333,365691.94681325386,604.7246867899919,baseline
419.6074523809523,349.25499999999994,365971.3218165873,604.9556362383835,baseline
411.0950428571429,333.2060000000002,364636.8697149999,603.851695133002,baseline
385.60450000000003,287.31766666666664,369929.8467099206,608.2185846469348,baseline
391.59994761904767,298.5096666666665,366751.34748382535,605.5999896663022,baseline
377.99597619047626,268.1693333333333,378422.65549706353,615.1606745372005,baseline
380.7677285714285,274.69,374285.8759073492,611.7890779568962,baseline
391.08703809523803,299.455,366937.41756144445,605.7535947573439,baseline
372.30638571428574,224.12366666666668,392647.0413652539,626.6155451034182,baseline
376.18297142857136,256.2736666666667,381885.91784382536,617.9691884259485,baseline
395.3824285714286,299.62499999999994,365635.39739928575,604.6779286523412,baseline
379.2383571428572,267.2060000000001,376440.0519635714,613.5471065562704,baseline
410.0200666666667,329.9343333333334,364551.1121651588,603.7806821728886,baseline
370.9972380952381,221.09033333333326,398126.2059247778,630.9724288150614,baseline
397.61620476190467,302.45133333333314,365180.35269782535,604.301541200935,baseline
395.22902857142856,299.1136666666666,365671.3182981111,604.7076304282186,baseline
378.90921428571437,267.4580000000001,376950.5726127143,613.9630058991456,baseline
370.55888976765874,200.33629336026138,412658.2351903459,642.3848030505904,bo_3_GP_PI
372.2049659087983,221.48796287795523,400908.5422503922,633.1733903524312,bo_3_GP_PI
376.29885404786194,254.81230198019807,381757.4209358758,617.8652125956565,bo_3_GP_PI
376.8579840987286,169.875,446590.61935688247,668.2743593441862,bo_3_GP_PI
373.3856103989395,185.6293333333332,428673.24962653755,654.7314332048962,bo_3_GP_PI
376.82296829371813,178.9249999999996,445403.07477378845,667.3852521398629,bo_3_GP_PI
394.3519816358521,160.09834690312147,481520.1972057682,693.9165635764635,bo_3_GP_PI
374.05670769850445,175.80758294523503,434318.15619020624,659.0281907401278,bo_3_GP_PI
370.62166964552284,211.02422404021723,405022.91968377435,636.414110217376,bo_3_GP_PI
381.8949269633172,275.73145617062,376326.78321114363,613.4547931275324,bo_3_GP_PI
397.8066288616389,176.3108809763292,488731.1536353091,699.0930936830296,bo_3_GP_PI
384.14344720240894,280.94300000000004,371559.9100412559,609.5571425561806,bo_3_GP_PI
375.3964805227663,173.04942472053074,437846.4419613813,661.6996614487432,bo_3_GP_PI
369.271284132977,212.8298178272109,401608.1846823659,633.7256383344182,bo_3_GP_PI
377.23985624523493,175.6033333333337,444728.22062606097,666.8794648405819,bo_3_GP_PI
374.4290219072791,176.89999999999998,435138.40104947286,659.6502111342593,bo_3_GP_PI
438.9909941989125,395.471651067553,370419.9271060078,608.6213331013034,bo_3_GP_PI
373.4453731987926,179.55616257368592,436372.49788040656,660.5849664353607,bo_3_GP_PI
474.9282168488412,463.8723144755999,390981.0594483067,625.2847826777065,bo_3_GP_PI
377.5281170955405,176.26066666666662,440573.3064744808,663.75696340941,bo_3_GP_PI
370.42792055600364,218.37867986798682,404225.9517852009,635.7876624984169,bo_3_GP_PI
370.18929895479397,188.0520475410566,420100.53658341215,648.1516308576352,bo_3_GP_PI
370.36455584835346,190.13493650695114,418054.79735637055,646.5715717199222,bo_3_GP_PI
371.16643454655133,193.175,417556.5018327917,646.1861201177194,bo_3_GP_PI
373.1104579171196,227.8922740394542,391425.4100570331,625.6400003652525,bo_3_GP_PI
374.33269633947066,242.61697307215667,384641.20863829966,620.1944925894616,bo_3_GP_PI
377.51692463452366,174.58938565704688,443843.88613645226,666.2160956750087,bo_3_GP_PI
376.670228983365,185.41453722973137,434882.21153618145,659.4559966640545,bo_3_GP_PI
374.91778067536507,242.13833449318048,390317.0732084324,624.7536100003204,bo_3_GP_PI
370.6576744983267,220.995,400168.2008759889,632.5884925257405,bo_3_GP_PI
386.276713251596,156.42000000000002,466334.8008798868,682.887106980273,bo_3_GP_PI
374.3440094378043,189.9765143918017,425307.6818067217,652.156178999112,bo_3_GP_PI
425.99584323529757,358.102565187718,367721.76349272154,606.4006625101275,bo_3_GP_PI
389.7620329106804,298.9879562108947,367534.09248365305,606.2459010035886,bo_3_GP_PI
436.1135826836605,385.1972392393897,366944.40012104524,605.7593582612201,bo_3_GP_PI
371.21056885272293,255.04557650142556,372499.43603286945,610.3273187666348,bo_3_GP_PI
373.32264540625056,241.73928197965057,380789.238477985,617.0812251867537,bo_3_GP_PI
369.58910285456204,214.29950133646764,395230.58645376,628.6736724674893,bo_3_GP_PI
371.3571025243804,187.3574391812436,421699.82732536696,649.3841908495825,bo_3_GP_PI
378.28327387249374,270.11500000000007,380018.2434455624,616.4561975076269,bo_3_GP_PI
371.03903418172763,202.75871287084453,412570.2697072905,642.3163314966314,bo_3_GP_PI
371.4103111734327,192.27199803137142,419503.23093172774,647.6906907866808,bo_3_GP_PI
370.66368812869337,220.67335830183725,389739.3689656769,624.2910931333851,bo_3_GP_PI
373.45572124759394,187.69254618720527,427070.3121249461,653.5061683908929,bo_3_GP_PI
379.4355091700189,267.04159437121666,379834.90201107156,616.3074735966387,bo_3_GP_PI
370.9458035832155,223.97085313531352,397302.58913581807,630.3194342044501,bo_3_GP_PI
369.8664061153396,204.97299371475174,407389.66939363384,638.2708432896131,bo_3_GP_PI
374.8448094512703,176.6997107752448,435452.81627728883,659.888487759325,bo_3_GP_PI
385.54978665135843,277.45325329658465,360588.33959778084,600.4900828471532,bo_3_GP_PI
369.8460977998272,211.39542958762087,405571.0996997977,636.8446432999164,bo_3_GP_PI
449.4437800949496,311.8453382596509,445856.04256572615,667.7245259579179,bo_3_GBRT_PI
672.7801189158895,667.1488595538926,641304.203127619,800.8147121073757,bo_3_GBRT_PI
435.9100794504105,271.52126767062066,441324.32953904633,664.3224590054489,bo_3_GBRT_PI
445.9049560392846,250.45424580290114,460382.2334987011,678.5147260735769,bo_3_GBRT_PI
463.7193257219104,332.5865396984271,433334.0385144635,658.281124227684,bo_3_GBRT_PI
448.06746232483636,339.9155331846203,426027.04890487314,652.7074757537814,bo_3_GBRT_PI
469.5055251372345,374.56625788112774,443380.63819464843,665.8683339780083,bo_3_GBRT_PI
571.3278904138745,559.555056652076,550258.2423390963,741.7939352266883,bo_3_GBRT_PI
511.20760429429805,430.88972986786433,421912.8784810288,649.5482110521349,bo_3_GBRT_PI
535.1849082256979,403.53253408676034,502256.9689103,708.700902292568,bo_3_GBRT_PI
471.456266684027,306.0386006610207,471019.214478406,686.3083960424832,bo_3_GBRT_PI
