ae,mae,mse,rmse,algorithm
374.7895619047621,335.73133333333345,303307.9296759207,550.7339917563838,baseline
129.81435714285712,46.98166666666668,249304.32937468254,499.30384474254004,baseline
129.83535714285713,47.063333333333304,249292.1516846826,499.29164992485363,baseline
129.57632857142858,47.24899999999997,249443.29221785706,499.4429819487476,baseline
128.07569047619052,38.28766666666667,251044.07844753974,501.04299061811025,baseline
129.91875714285715,47.38766666666666,249243.92053801587,499.2433480157907,baseline
129.54138571428572,47.38899999999998,249464.45847785717,499.4641713655317,baseline
202.86627619047619,145.4686666666667,246591.42451001593,496.5797262374048,baseline
164.968,101.52499999999998,243740.361625,493.7006801949943,baseline
140.17828571428572,65.6783333333333,245960.82381277782,495.9443757245139,baseline
299.1417285714286,255.8893333333333,270709.15204992064,520.2971766691807,baseline
128.30267142857141,40.72399999999999,250633.56138557143,500.63316049336106,baseline
134.48801904761905,54.50999999999999,247326.99508620633,497.31981167675826,baseline
191.0005,129.47166666666664,245138.72475182542,495.11486016057466,baseline
198.4973095238095,139.61166666666668,246000.15589753975,495.9840278653535,baseline
129.9545857142857,47.527000000000015,249223.26508128567,499.2226608250928,baseline
128.11890476190476,38.892666666666685,250941.02925849205,500.9401453851468,baseline
133.50057142857145,54.224999999999994,247624.8261841429,497.6191577744399,baseline
205.4475000000001,148.8350000000001,246962.30723928576,496.9530231714923,baseline
174.09850476190474,111.53,243904.26119658723,493.8666431300936,baseline
132.5905095238095,52.545000000000016,247961.34605573022,497.95717291322376,baseline
133.09618571428572,53.483666666666664,247769.9373209682,497.7649418359716,baseline
130.10231904761906,48.015,249140.29660039683,499.13955623692743,baseline
131.14569047619045,50.224999999999994,248613.46122763486,498.6115333881025,baseline
203.49268571428576,146.296,246680.47461214277,496.66938159317084,baseline
135.86351904761904,57.406333333333336,246945.09915925402,496.93570928164746,baseline
144.6578,73.0303333333333,245155.42569573017,495.1317256000974,baseline
127.99038095238097,37.420000000000016,251249.65733801588,501.2480995854407,baseline
128.6452238095238,43.36233333333334,250202.39640906345,500.20235546133074,baseline
181.53256190476188,117.98966666666665,244311.1324163969,494.2783956601754,baseline
185.77861428571424,123.13766666666662,244649.8527542063,494.6209182335562,baseline
127.90192857142857,36.719999999999985,251499.26035642854,501.4970192896749,baseline
305.5717,262.709,272995.5732498572,522.4897829143238,baseline
197.5917666666666,138.39266666666657,245885.72256277778,495.8686545475301,baseline
133.9212761904762,54.795,247492.74229192067,497.4864242287629,baseline
214.75583333333333,160.2903333333333,248448.91579525397,498.44650244058687,baseline
203.86684285714284,146.78599999999994,246733.86130214282,496.7231233817717,baseline
128.8008142857143,44.27766666666665,250056.06246134927,500.05605931870207,baseline
128.41649047619046,35.03866666666666,253267.3805709683,503.2567739941195,baseline
189.61232857142858,127.56633333333333,244999.80989258736,494.9745547930594,baseline
195.2354238095238,135.22066666666666,245601.8800700159,495.58236456719874,baseline
129.6725,47.05499999999999,249386.94030214293,499.3865639984149,baseline
128.68540476190475,35.401666666666614,253778.7790789683,503.7646068145005,baseline
293.93149999999997,250.3633333333333,268924.6790256349,518.5794818787521,baseline
131.49473809523812,50.65733333333337,248444.37453287296,498.4419470037338,baseline
131.99354285714287,51.55999999999999,248214.6299481428,498.211430968964,baseline
127.89054285714288,36.48100000000004,251541.4243950001,501.53905570254454,baseline
178.68458571428573,113.74800000000009,244126.28866242862,494.0913768347193,baseline
188.39658571428575,125.8976666666667,244884.1138427778,494.85767028790997,baseline
130.51311904761906,48.65999999999998,248927.49994277774,498.9263472124696,baseline
140.721116547244,52.29425736985712,253623.14560444313,503.61011269080285,bo_3_GP_PI
253.45212540614344,207.96822089931675,256720.03105867334,506.6754691700333,bo_3_GP_PI
169.90853019097412,109.8211613737143,242205.11058534452,492.1433841730929,bo_3_GP_PI
290.02347057991506,246.2819999999999,266226.37029283674,515.9712882446432,bo_3_GP_PI
139.5629560495599,44.28920348603049,256320.42912684588,506.2809784367233,bo_3_GP_PI
148.37453752477117,58.71478075499745,255771.9055752537,505.7389698008783,bo_3_GP_PI
246.5071809635717,198.58999999999997,253639.8185093753,503.62666580451764,bo_3_GP_PI
247.89845485775336,200.6125264368663,255674.48110046983,505.64264169516974,bo_3_GP_PI
137.5360783750147,46.52162334120061,249486.55440523193,499.48629050778953,bo_3_GP_PI
293.0420316654286,249.97193641822756,266818.9265455548,516.5451834501555,bo_3_GP_PI
137.41109904921893,39.212333333333234,255113.9287598485,505.088040602674,bo_3_GP_PI
133.07767492081874,41.28048041254296,253890.57504355215,503.8755551160943,bo_3_GP_PI
130.6805072014693,38.734999999996944,255124.62778200506,505.0986317364214,bo_3_GP_PI
142.3091657175175,56.467707136329466,250944.7475273092,500.94385666191096,bo_3_GP_PI
138.736473582223,43.95175697664604,254424.53356835907,504.4051284120326,bo_3_GP_PI
165.43612909005185,103.91566666666661,243763.02484939853,493.7236320548152,bo_3_GP_PI
145.01349029047358,59.90772821781087,254822.52239621693,504.7994873177041,bo_3_GP_PI
174.1968069364341,115.5602225330464,242826.21127302496,492.7739961412584,bo_3_GP_PI
146.80149339781357,55.92773376355977,255622.68317039806,505.59141920170885,bo_3_GP_PI
132.4035740429357,38.46000000000025,254743.10095239803,504.72081485946075,bo_3_GP_PI
183.85339665630102,120.7673333333331,244457.50952474194,494.4264450095099,bo_3_GP_PI
275.92138419436367,231.65221354411028,259422.31073975467,509.33516542621976,bo_3_GP_PI
146.16852413101546,57.38480947803201,253768.85667810918,503.75475846696395,bo_3_GP_PI
131.5078286557353,39.20969240928366,252138.34640740417,502.1337933334145,bo_3_GP_PI
292.22032784619205,249.7496666666001,266987.9604721792,516.7087772354745,bo_3_GP_PI
139.62952772029104,46.36431013406714,255631.38252240952,505.60002227295195,bo_3_GP_PI
132.1477044308913,41.05187387463961,254980.79497568964,504.95623075241843,bo_3_GP_PI
273.74851060850364,228.904,262491.45274082624,512.3391969592276,bo_3_GP_PI
136.49471379026627,45.6704418563874,253395.1114373362,503.38366226699907,bo_3_GP_PI
194.47162481447236,134.33322277227728,245460.8569179903,495.4400639007612,bo_3_GP_PI
168.25419921457973,105.40483442991878,242496.53335476428,492.43937023227977,bo_3_GP_PI
147.6664833225062,59.215895383714596,254752.03196359938,504.72966225851974,bo_3_GP_PI
175.60704349701814,114.77733333333326,244236.7090819081,494.2031050913259,bo_3_GP_PI
136.88573433335463,41.87989329744897,254568.5575193129,504.5478743581355,bo_3_GP_PI
146.26986908456652,52.84348863616253,257974.11786386019,507.91152562612734,bo_3_GP_PI
132.61255284494231,42.686767705031585,252734.0935535581,502.7266588848836,bo_3_GP_PI
134.19432537923453,40.725999999999274,257541.21987773958,507.4851917817303,bo_3_GP_PI
158.15627987777756,94.60843852208983,243569.7014439934,493.52781222945623,bo_3_GP_PI
146.4467176849574,54.40022349293244,255175.77584736305,505.1492609589398,bo_3_GP_PI
145.15358219432255,58.67026294864664,253836.20732616246,503.82160267912536,bo_3_GP_PI
264.9569616601617,223.11534508636532,257338.36287056128,507.28528745722684,bo_3_GP_PI
141.47832703092155,44.53217455472979,256190.84141140725,506.15298222119293,bo_3_GP_PI
136.79400662873357,50.75869066988646,253689.7628324383,503.67624803283934,bo_3_GP_PI
138.9860406974,43.88397107702589,257298.0918509206,507.24559322967076,bo_3_GP_PI
136.12497024412843,49.00250816176751,250410.07402628768,500.40990600335607,bo_3_GP_PI
142.23837713091027,53.522689223505964,255807.0242658082,505.7736887836379,bo_3_GP_PI
143.8733566814624,43.284170350795534,254596.66057058104,504.57572332661925,bo_3_GP_PI
192.68764709989395,132.43898019801975,245259.72919502584,495.2370434398318,bo_3_GP_PI
174.55016195190942,111.53000000000003,243902.33290877513,493.86469089091105,bo_3_GP_PI
299.49909829655417,256.6343333333333,270918.9233570017,520.49872560555,bo_3_GP_PI
