ae,mae,mse,rmse,algorithm
374.8943571428572,293.8183333333335,253850.11388896825,503.8354035684355,baseline
378.68121428571425,307.3750000000001,251409.32586928565,501.4073452486368,baseline
410.68742857142854,384.85299999999995,250735.22753699997,500.7346877708793,baseline
413.58442857142853,387.4466666666666,251616.0069118254,501.6134038398749,baseline
370.62809047619055,270.0546666666666,258684.8967144921,508.6107516701668,baseline
402.17547142857137,366.43699999999995,248781.05499985712,498.77956553958495,baseline
395.1604857142857,348.444,248051.91197271427,498.0481020671741,baseline
433.3460714285715,435.62800000000004,259712.29950814284,509.6197597308633,baseline
362.71507142857143,204.46999999999997,289255.1351076349,537.8244463648291,baseline
424.55935714285715,414.49500000000023,255589.54103214288,505.5586425254175,baseline
415.8189952380952,393.13266666666675,252329.84224373018,502.32443922601476,baseline
379.84433809523813,309.8086666666667,250843.1198643016,500.8424102093408,baseline
444.4357857142856,461.5039999999998,265976.7571212857,515.7293448324283,baseline
389.55130952380955,334.735,248226.10333039687,498.2229454073717,baseline
423.3517142857142,411.58000000000004,255090.96442928576,505.06530709333595,baseline
388.6325285714286,336.082,248332.79519385716,498.33000631494906,baseline
368.4060142857143,254.13900000000024,262268.87367985706,512.1219324339245,baseline
395.4589857142858,349.439,248063.301027,498.0595356250094,baseline
411.5006428571429,384.68499999999995,250975.44551214288,500.97449586994236,baseline
364.42699999999996,226.30999999999995,271082.5281964285,520.6558634995177,baseline
461.337957142857,499.89599999999984,277738.6563864285,527.0091615773188,baseline
430.4245380952381,428.65233333333333,258252.68576953965,508.1856804058332,baseline
402.3187857142857,366.85499999999996,248804.2227692857,498.8027894561995,baseline
415.8608619047618,393.23733333333314,252343.58846096823,502.3381216481268,baseline
417.32846190476187,396.90633333333324,252839.295869254,502.8312797243764,baseline
412.8098047619048,385.3646666666667,251370.80015496825,501.36892619603805,baseline
487.9018523809524,549.5899999999999,300369.6103614444,548.0598601990885,baseline
374.1983238095238,291.6343333333333,254509.52830515878,504.4893738277931,baseline
385.9235857142857,332.67366666666663,248801.3242766825,498.7998839982649,baseline
365.86724285714286,237.373,267372.1230081428,517.0803835073835,baseline
376.6766428571429,302.88333333333344,252548.51543230153,502.5420533968292,baseline
372.81640952380957,282.8403333333333,256003.2072119206,505.96759502157903,baseline
439.55307142857157,450.1110000000002,263053.5607121429,512.8874737329261,baseline
410.14635714285697,386.3680000000003,250579.76992414286,500.57943418017373,baseline
448.0956428571429,470.0436666666666,268338.06848430156,518.0135794400583,baseline
430.94612380952367,429.9113333333331,258508.92620258726,508.437730899849,baseline
