ae,mae,mse,rmse,algorithm
98.77182857142854,80.99799999999993,17447.80733414286,132.0901485128352,baseline
103.04155714285714,89.36899999999999,16922.285030714283,130.08568341948427,baseline
113.30597142857143,104.04399999999994,17458.02828642857,132.12883215418415,baseline
111.28064285714284,101.97,17227.115355571426,131.25210609956486,baseline
98.5762142857143,79.69999999999999,17511.084277857142,132.32945355383714,baseline
109.56207142857143,100.27499999999999,17072.234261285717,130.66076022006652,baseline
106.50420000000001,94.7,16908.167469857148,130.03140955114324,baseline
115.26069047619048,104.76,17725.578218015868,133.13744108257401,baseline
97.6811857142857,56.49600000000001,20661.339298428567,143.7405276824479,baseline
114.53395714285712,104.76,17620.599344301583,132.74260561063875,baseline
108.17981428571426,99.30799999999995,16980.331974142857,130.30860284011513,baseline
98.83044285714287,81.37100000000004,17430.247026999998,132.02366086046848,baseline
114.65764285714286,104.76,17638.097620396828,132.80849980478217,baseline
100.2145380952381,85.37266666666665,17157.841800968257,130.98794525057738,baseline
110.72302380952382,101.97,17171.786237539683,131.04116237861936,baseline
103.81176666666664,91.9326666666666,16897.504872873014,129.9904030029641,baseline
99.4102142857143,82.89999999999999,17295.110262142854,131.5108750717706,baseline
108.69897619047617,100.32566666666673,17011.91967001587,130.42974994231903,baseline
109.6589761904762,100.27499999999999,17079.73547801587,130.68946200063672,baseline
97.11052857142856,69.38999999999999,18520.135898492063,136.08870599168787,baseline
120.01544285714289,116.13400000000003,18532.865849285718,136.1354687408308,baseline
111.23588095238094,101.97,17222.49392763492,131.2344997614382,baseline
110.0492142857143,101.12999999999998,17111.433477857143,130.81067799632086,baseline
112.62377142857144,102.27533333333334,17376.471950206353,131.8198465717752,baseline
110.97564285714287,101.97,17196.24801357143,131.13446539171701,baseline
109.55969047619047,100.27499999999999,17072.05180953968,130.66006202944985,baseline
123.07521904761904,123.51966666666665,19187.059363349206,138.51736123442868,baseline
98.95492380952382,81.87,17396.609453349207,131.89620712268115,baseline
107.27592857142858,96.6716666666667,16935.772417063494,130.13751348886106,baseline
97.08725714285714,69.38999999999999,18564.346544777774,136.25104236216976,baseline
101.03515714285714,87.115,17059.524987857145,130.61211654305717,baseline
97.69992857142857,75.34333333333338,17925.30863468254,133.88543100234074,baseline
113.42207142857143,104.34499999999998,17472.530896428572,132.18370132670884,baseline
110.15433333333333,101.42433333333331,17120.38025811111,130.84487096600733,baseline
122.57476190476196,122.31166666666674,19072.59681896826,138.10357279581243,baseline
115.84215714285715,105.98699999999998,17811.98817957143,133.46156068161136,baseline
109.23683333333334,100.27499999999999,17048.134595444444,130.5685053734033,baseline
103.82852857142858,91.986,16897.128931285715,129.9889569589883,baseline
98.1120238095238,78.62066666666664,17684.263687063492,132.98219312022002,baseline
101.39362380952382,86.66000000000001,17026.364494301593,130.48511215576124,baseline
100.1362904761905,85.03033333333337,17169.2704525873,131.0315628105965,baseline
101.7306476190476,86.31866666666673,16998.369168111112,130.37779399925094,baseline
