ae,mae,mse,rmse,algorithm
975.9141449275362,783.6069999999995,1613873.219737217,1270.383099595243,baseline
976.4099608695653,753.5447000000004,1637939.3499584263,1279.820045927718,baseline
1016.857520289855,1020.3617666666664,1524997.3634080852,1234.907835997523,baseline
984.2533144927537,929.696233333334,1510328.463630016,1228.9542154327867,baseline
984.0060579710146,924.0093333333334,1511404.9182961152,1229.3920929858446,baseline
987.6568898550724,1007.9784666666669,1502083.9674868765,1225.5953522622694,baseline
980.3760101449276,840.5182333333332,1534654.244346311,1238.811625852095,baseline
977.0504782608697,779.5149999999999,1568189.5407138695,1252.2737483129915,baseline
978.2043782608696,673.8399666666669,1703087.7372188917,1305.0240370272463,baseline
980.6428,617.7562666666668,1756544.47988084,1325.3469281214032,baseline
1024.602228985507,1033.9381333333322,1533379.4469882022,1238.2969946617015,baseline
1088.4889869565216,1243.8517666666662,1651929.3490591075,1285.274036561506,baseline
990.9147536231882,1058.1839999999997,1503247.23857113,1226.0698342962075,baseline
975.9547608695649,798.1585000000005,1581801.6720159021,1257.6969714585075,baseline
986.291088405797,976.5650333333333,1503920.044650403,1226.344178707757,baseline
1010.3142449275363,1041.8610999999996,1518924.9015725318,1232.4467134819793,baseline
1028.673134782609,1047.3139666666666,1538304.6670470657,1240.2841073911516,baseline
1049.0882797101444,1114.392299999999,1568400.835464959,1252.3581099130388,baseline
981.1148202898552,606.8997999999997,1767619.1639505445,1329.5183954915947,baseline
1025.7311057971017,1037.6472999999996,1534709.3729378867,1238.8338762472904,baseline
985.079192753623,948.691433333333,1507201.765891627,1227.6814594558423,baseline
984.3151840579709,931.1192333333333,1510069.226010619,1228.8487400858655,baseline
1054.7502246376812,1132.995833333333,1578341.7050039019,1256.3207014946072,baseline
990.9672198067631,1058.9080333333336,1503300.8892553998,1226.0917132316815,baseline
1105.340079710145,1292.3808333333327,1691878.3947320173,1300.7222588746674,baseline
988.2417342995169,1021.2963333333328,1501901.2797859854,1225.52081980927,baseline
985.1120144927532,949.4463333333338,1507092.4152120724,1227.636923203303,baseline
976.5322101449274,784.8771666666667,1574469.685964018,1254.7787398438093,baseline
1094.327147342995,1262.8529666666664,1667010.0398897268,1291.1274297642842,baseline
993.0246690821255,1087.3008333333332,1506231.4968774964,1227.2862326602935,baseline
993.6336545893721,1095.7048333333332,1507408.1692962209,1227.7655188578237,baseline
984.1038391304348,926.2582999999995,1510971.4869677539,1229.2158016262863,baseline
987.5712333333333,1006.0083666666674,1502141.11113677,1225.618664649315,baseline
1006.6326507246376,1053.9577666666669,1515914.6116759225,1231.2248420479189,baseline
989.8010917874395,1042.815466666667,1502355.7533407286,1225.706226361247,baseline
978.2009507246376,673.9188000000004,1703017.023914147,1304.9969440248306,baseline
985.341372463768,954.7215666666661,1506360.0841632292,1227.3386183784935,baseline
991.583884057971,1067.4180000000001,1504010.0566346084,1226.3808774742895,baseline
986.819204347826,988.7117000000003,1502976.0596905192,1225.959240631808,baseline
1021.2480623188405,1022.9173000000001,1529590.251469452,1236.7660455678156,baseline
981.3672318840581,863.3163333333332,1526922.0926572897,1235.6868910275327,baseline
1028.2688492753623,1045.9856,1537799.5353288583,1240.0804551837991,baseline
999.7584652173912,622.2617666666665,1966916.6421487594,1402.4680538781479,baseline
978.803731884058,817.962833333334,1549051.1547805395,1244.6088360527333,baseline
977.614875362319,792.4961333333326,1561673.6717865071,1249.6694250026712,baseline
1020.38064057971,1020.0671999999995,1528649.8603755182,1236.3858056349231,baseline
982.8493376811593,897.4047666666661,1517299.9100199945,1231.7872827805922,baseline
985.7002666666665,962.9761333333336,1505325.831618298,1226.9172065051082,baseline
980.5397188405798,844.2835333333337,1533305.54956935,1238.2671559761852,baseline
1016.8483898550725,1020.3917666666662,1524988.2458627806,1234.9041444026254,baseline
1018.0917975061062,503.74305274639573,2142372.0107937846,1463.6843958974846,bo_3_GP_PI
969.7864949765652,780.1350267061307,1551977.7019411647,1245.7839708156325,bo_3_GP_PI
1016.9756173490324,485.9197541702888,2113449.903987601,1453.7709255545046,bo_3_GP_PI
1017.120989288326,491.79417364573965,2117492.392495052,1455.160607113542,bo_3_GP_PI
1020.3382907966983,524.6690302878442,2111592.8569551837,1453.1320851716075,bo_3_GP_PI
1013.2146897442361,506.48426069954394,2088878.2916316572,1445.2952264612436,bo_3_GP_PI
1029.6438271636114,534.9439141914195,2181795.9388805763,1477.0903624628306,bo_3_GP_PI
984.7425018995534,606.6881569396314,1904362.0934242336,1379.986265665073,bo_3_GP_PI
