ae,mae,mse,rmse,algorithm
610.4729444444445,432.9441666666669,1099540.5511920375,1048.5897916688095,baseline
612.0264734299517,454.6793333333335,1084094.0432386086,1041.1983688224875,baseline
656.0752275362318,430.3197,1033430.9938663277,1016.5780805557081,baseline
671.4515144927537,422.5494999999996,1034305.785792105,1017.0082525683383,baseline
697.8209971014492,475.30359999999973,1047174.985494212,1023.3156822282223,baseline
666.101041062802,441.9801666666667,1033293.9236876995,1016.5106608824619,baseline
899.2078521739128,819.316133333333,1261527.4938514715,1123.1774097850578,baseline
619.3064594202899,417.54930000000013,1065540.5345453073,1032.2502286487068,baseline
679.0032415458936,418.8503333333333,1036932.4930905071,1018.2988230821575,baseline
611.0084173913045,451.71439999999984,1148316.2757477427,1071.595201439304,baseline
719.0995024154587,523.5223333333329,1063823.5147579852,1031.4182055587273,baseline
624.5634019323672,384.5739333333331,1054736.0882247388,1027.0034509312707,baseline
652.2266077294687,444.29626666666695,1034187.8358287425,1016.9502622197127,baseline
649.7286492753622,447.8151999999998,1034888.148026182,1017.2945237374386,baseline
647.7673260869565,440.6924999999999,1035553.359142134,1017.6214223089714,baseline
691.4543193236714,456.2035666666666,1042996.1588194494,1021.271833949928,baseline
705.8408536231882,489.8726999999999,1053145.6037494119,1026.2288262124641,baseline
674.1670826086958,412.68769999999995,1035108.220620165,1017.4026836116391,baseline
652.3165502415458,443.9696333333336,1034165.689856312,1016.9393737368575,baseline
662.6266386473429,430.04626666666627,1033041.2280410869,1016.3863576618327,baseline
747.2212439613528,585.1178333333337,1089236.0536593513,1043.6647228201934,baseline
610.578629468599,440.2364333333335,1095832.3591263695,1046.8201178456447,baseline
698.9600971014492,478.7208999999998,1047999.5925886013,1023.7185123795512,baseline
628.8493879227052,386.46336666666684,1047819.6656943471,1023.6306295213851,baseline
650.5047855072465,450.5491999999995,1034652.9307500223,1017.1789079360731,baseline
864.5057777777778,770.0483333333334,1216853.1449104925,1103.1106675717049,baseline
622.9965130434784,405.56926666666664,1181782.0713376433,1087.0980044768933,baseline
689.1858637681161,449.3982000000001,1041683.5331971645,1020.6289890049002,baseline
665.971097584541,442.1919333333335,1033278.7412702002,1016.5031929463872,baseline
739.6200917874397,570.1928666666668,1082381.883782958,1040.3758377542983,baseline
617.9748855072463,425.90189999999984,1068622.476990149,1033.741977956854,baseline
629.3645019323673,389.1974333333335,1047162.0898205141,1023.3093812823735,baseline
713.6083623188406,509.72299999999996,1059170.7035423333,1029.1601933335419,baseline
700.5055748792271,475.03133333333335,1049155.7216506673,1024.283028098517,baseline
670.6384338164253,425.5022666666666,1034103.3635335077,1016.9087292050883,baseline
624.9778734299516,381.97406666666666,1053976.7274581685,1026.6336870852078,baseline
641.6530159420292,418.4879000000001,1038278.3167934185,1018.9594284334478,baseline
689.0492971014493,448.98849999999993,1041607.4658826849,1020.5917234049494,baseline
618.8578560386475,420.3632666666665,1066563.2464690208,1032.7454896870868,baseline
793.5587338164253,664.3799666666669,1133102.0159289036,1064.472646867407,baseline
663.5932613526569,433.55663333333337,1033079.5615554234,1016.4052152342704,baseline
639.7329787439616,411.51513333333355,1039337.464558417,1019.4790162423242,baseline
626.8413695652175,392.9361666666664,1191686.514947951,1091.6439506304018,baseline
610.0250077294688,443.79453333333345,1116438.0668608167,1056.6163290716345,baseline
696.7542082125603,472.10323333333326,1046423.9041731057,1022.9486322260301,baseline
675.8977714975847,408.26043333333314,1035721.1149052852,1017.7038443993838,baseline
663.549744927536,433.39859999999976,1033077.3060370411,1016.4041056769896,baseline
623.6394922705316,390.36936666666656,1056477.4543160088,1027.8508910907306,baseline
637.7134072463767,409.1470999999999,1040556.4491832973,1020.0766878932668,baseline
652.1280830917875,444.6540666666665,1034212.3398135976,1016.9623099277562,baseline
603.8263412393525,439.6094587458749,1100402.8249586332,1049.0008698559946,bo_3_GP_PI
643.9110270575944,426.190433333333,1036402.1214415393,1018.0383693366077,bo_3_GP_PI
603.4839547565491,444.2776810661735,1100124.3963864043,1048.868150143956,bo_3_GP_PI
621.2640337671814,418.6430508922483,1062576.9782445705,1030.8137456614413,bo_3_GP_PI
610.2324219404472,449.4118745836872,1109422.9136968208,1053.2914666400848,bo_3_GP_PI
610.740286926172,459.80353332188406,1138225.3875527212,1066.8764631168508,bo_3_GP_PI
628.6479698805911,377.63311474775423,1201066.4989007465,1095.9317948215328,bo_3_GP_PI
629.1296747527518,386.60266671899217,1197448.871262253,1094.2800698460394,bo_3_GP_PI
612.7190012504418,450.78675867546485,1071560.1238603478,1035.1618829247664,bo_3_GP_PI
642.9502750982313,344.8021947194718,1234650.959233765,1111.1484865821333,bo_3_GP_PI
623.3194873639243,392.8233666626584,1057601.0512509977,1028.397321686029,bo_3_GP_PI
610.303243789589,450.1930333086384,1084816.0168474042,1041.545014316426,bo_3_GP_PI
640.1798860295,356.2562710595221,1226643.0697582425,1107.5391955855298,bo_3_GP_PI
602.5354981372743,453.2430597604632,1071504.459560712,1035.1349958148996,bo_3_GP_PI
610.7841203333633,460.04840000000036,1139093.2371158698,1067.2831101052193,bo_3_GP_PI
629.9467023653045,381.0118333574105,1200853.2948322075,1095.8345198214042,bo_3_GP_PI
651.2558055801323,354.89036666666675,1255489.359265153,1120.4862155623125,bo_3_GP_PI
645.2615008984611,348.18326666666644,1240468.5278395424,1113.7632279077732,bo_3_GP_PI
637.9282589445014,363.27749203085045,1221817.3360745544,1105.358464967159,bo_3_GP_PI
604.91880202981,455.9150610552058,1093058.5958304435,1045.4944264942035,bo_3_GP_PI
620.5750945142784,419.19533333504387,1173526.3647068166,1083.2942189021487,bo_3_GP_PI
611.2945242140928,434.36343264826337,1049891.9218972926,1024.6423385246642,bo_3_GP_PI
601.3018731277068,457.0103853089902,1056372.1521151243,1027.7996653604846,bo_3_GP_PI
630.9605355947847,379.1111333333331,1202208.590046656,1096.4527304205394,bo_3_GP_PI
670.1332065136475,428.31804290429045,1033491.3148105261,1016.6077487460569,bo_3_GP_PI
635.4931233293127,362.85393833757416,1215989.7221932297,1102.7192399669236,bo_3_GP_PI
616.7807401277596,436.014735952685,1073085.1065040822,1035.8982124244071,bo_3_GP_PI
615.9584494296591,413.24347949285766,1155517.1178550585,1074.9498210870397,bo_3_GP_PI
626.2642453376075,399.075843516674,1190004.7557533907,1090.8733912573864,bo_3_GP_PI
625.8680826907039,399.4670296892248,1188723.8168530758,1090.2861169679616,bo_3_GP_PI
609.6429273944493,450.07948869401275,1070834.1143809936,1034.8111491383313,bo_3_GP_PI
622.374267393928,423.5199462457481,1064177.4446800782,1031.5897656918075,bo_3_GP_PI
619.4609004788207,421.01467986798707,1171554.9522300526,1082.3839209033238,bo_3_GP_PI
681.3716413615546,317.64153331812304,1329408.0768969303,1152.9995996950433,bo_3_GP_PI
610.3861152510261,450.0491352941781,1112914.6463985927,1054.9476984185485,bo_3_GP_PI
710.6950525087587,504.1002333336469,1057203.4216769068,1028.2039786330856,bo_3_GP_PI
611.6772665457025,442.6140629182305,1151759.0873011514,1073.2003947544706,bo_3_GP_PI
674.3606560233355,413.2833894237774,1035902.6699603684,1017.7930388641732,bo_3_GP_PI
645.4856100550111,343.3319537869352,1241238.874531147,1114.1090047796702,bo_3_GP_PI
631.3375904692915,391.57395472477197,1017821.2092722566,1008.8712550530204,bo_3_GP_PI
655.1348320304845,363.6149333002363,1264360.724166287,1124.4379592339842,bo_3_GP_PI
622.447668423727,407.2840561066823,1181644.9837222171,1087.0349505522888,bo_3_GP_PI
654.3250640250204,359.8685286645107,1262770.773017943,1123.7307386638238,bo_3_GP_PI
613.1333513523987,423.64790517695246,1155003.7832252756,1074.7110231244842,bo_3_GP_PI
612.7772445837954,412.27035458084697,1154452.647545361,1074.454581425088,bo_3_GP_PI
609.0887130222526,435.370184918198,1133035.9196219256,1064.4415999113928,bo_3_GP_PI
632.9902806419294,369.9041372087961,1209577.1232717203,1099.807766508184,bo_3_GP_PI
625.6579570961558,386.0809322800976,1039844.7832614693,1019.7277986117027,bo_3_GP_PI
626.9375383259427,379.76550002002296,1049911.5237108972,1024.6519036779746,bo_3_GP_PI
605.2339346687073,444.187575224033,1123531.827829615,1059.9678428280808,bo_3_GP_PI
660.7334691464467,410.4394532417464,1195883.9998833826,1093.5648128407308,bo_3_GBRT_PI
757.7303814700748,522.3439876220464,1188975.6676917204,1090.4016084414588,bo_3_GBRT_PI
769.5341468268118,506.1641234299109,1266576.788376166,1125.4229375555512,bo_3_GBRT_PI
808.3580420445165,549.7932224491924,1348718.7165699725,1161.3434963739076,bo_3_GBRT_PI
759.7545853338316,333.971676985439,1470384.32266096,1212.5940469344882,bo_3_GBRT_PI
634.7097439488393,430.1856920122216,1036795.5442417696,1018.231576922347,bo_3_GBRT_PI
605.3499256549162,344.2131182163282,1090192.6054145407,1044.1228880809676,bo_3_GBRT_PI
598.7699283170066,313.6568316481207,1099713.2973131866,1048.672159119897,bo_3_GBRT_PI
627.5560702412996,295.76975485324874,1082548.400721808,1040.4558619767627,bo_3_GBRT_PI
650.5446258161792,459.04297605958186,1110995.8364277645,1054.0378723877832,bo_3_GBRT_PI
