ae,mae,mse,rmse,algorithm
1296.4071739130436,937.1018666666669,2312135.585911298,1520.57080923951,baseline
1282.761163768116,869.2222999999997,2375799.8300123224,1541.3629780205317,baseline
1438.8565579710141,1589.7530333333334,2171414.8355751587,1473.5721345000925,baseline
1377.4447681159415,1307.2587999999998,2126775.1848473907,1458.3467299813824,baseline
1342.9467173913042,1148.5677666666666,2171711.0230660387,1473.672630900784,baseline
1406.2711521739132,1439.8601666666668,2127852.8125166562,1458.7161521408668,baseline
1362.9042971014494,1240.3726333333332,2139574.5692965323,1462.7284673843374,baseline
1338.8355289855076,1129.6563,2180424.8232191335,1476.6261623102625,baseline
1314.6382391304346,1018.3487666666667,2246206.137132225,1498.7348455054434,baseline
1277.2033420289856,834.3596,2412079.428404556,1553.0870640130115,baseline
1455.148956521739,1575.6119333333331,2210045.92414503,1486.6223206130835,baseline
1437.882333333333,1585.2716,2169460.7850472005,1472.9089534140257,baseline
1364.4156739130435,1247.3249666666668,2137827.4858553484,1462.1311452312848,baseline
1297.4934347826086,942.0986666666665,2307813.2359288842,1519.1488524594567,baseline
1386.6418333333336,1349.5653,2123298.942454664,1457.1543989758477,baseline
1463.7792463768117,1535.9126,2235060.605949192,1495.011908296784,baseline
1457.0951376811595,1566.6595,2215411.6225535544,1488.4258874910615,baseline
1415.6890144927534,1483.1823333333332,2135826.272674164,1461.4466369574236,baseline
1325.2365652173914,1067.1010666666664,2214344.44629469,1488.0673527413637,baseline
1392.5227463768113,1376.6174999999998,2122952.4214938153,1457.0354908147624,baseline
1338.1079710144927,1126.3095333333333,2182041.3995779,1477.173449388358,baseline
1322.9366666666665,1056.5215333333329,2220854.7689075693,1490.253256633774,baseline
1436.5357173913046,1579.077166666667,2166825.941810946,1472.0142464701032,baseline
1401.5927826086956,1418.3396666666665,2125287.4034583187,1457.8365489513283,baseline
1462.4076304347823,1542.2220333333335,2230874.3396995096,1493.6111742014753,baseline
1472.9112391304348,1493.905433333333,2264961.719765958,1504.9789765195917,baseline
1384.3605217391305,1339.0712666666668,2123827.3755714525,1457.3357113484362,baseline
1384.9016739130436,1341.5605666666668,2123682.099247801,1457.2858673739347,baseline
1479.8188623188405,1462.1303666666668,2289923.9596886896,1513.2494704075364,baseline
1399.8278260869567,1410.2208666666666,2124560.2156265294,1457.5871211102715,baseline
1460.7510144927535,1549.8424666666665,2225924.3854564046,1491.9532115506856,baseline
1428.9463043478256,1544.1658666666665,2153411.2437705444,1467.4505932979632,baseline
1339.4402028985508,1132.4377999999997,2179098.3313071677,1476.1769308951984,baseline
1415.6542028985505,1483.0222,2135789.8883970343,1461.4341888696304,baseline
1400.942333333333,1415.3475999999998,2125004.0693410677,1457.739369483128,baseline
1285.3242009661838,885.2995333333336,2359888.1550182826,1536.1927467014946,baseline
1373.3739565217393,1288.5330666666666,2129456.7150713634,1459.2658137129656,baseline
1456.1185652173915,1571.1517333333331,2212699.1373981573,1487.5144158622993,baseline
1425.6189130434782,1528.8598666666667,2148298.5256664054,1465.7075170941866,baseline
1473.7721666666664,1489.9451666666669,2267962.7197699794,1505.9756703778382,baseline
1408.3195507246378,1449.2828000000002,2129267.628654602,1459.2010240726265,baseline
1418.9076304347827,1497.9879666666666,2139411.87363951,1462.6728525680342,baseline
1263.851777777778,693.2907333333333,2583700.117222498,1607.3892239350425,baseline
1301.5583115942031,960.7970999999998,2292081.713336531,1513.962256245687,baseline
