ae,mae,mse,rmse,algorithm
476.6233714975846,123.2042333333334,1135488.269249419,1065.5929191062687,baseline
483.30921014492753,142.42089999999996,1103031.9092432908,1050.2532595727998,baseline
715.3438309178745,554.7036666666669,1003225.102799657,1001.6112533311799,baseline
545.8956594202899,299.4948333333335,1012109.5329156704,1006.0365465109458,baseline
734.631677294686,583.0198666666668,1010758.0572997842,1005.3646389742302,baseline
862.114,760.898,1094756.4139326666,1046.3060804242068,baseline
687.7215449275361,519.0477999999998,995229.8243620052,997.6120610547996,baseline
482.1241391304347,143.84360000000004,1107184.7108054296,1052.2284499125794,baseline
638.1844758454106,446.32316666666674,989129.2977314285,994.5497965066548,baseline
501.1527545893718,202.96373333333332,1060298.3138593996,1029.7078779243168,baseline
812.5156376811595,693.7943333333334,1055635.0667100726,1027.4410283369418,baseline
602.7838033816424,394.35196666666667,991250.2708746078,995.6155236207438,baseline
849.8547333333337,744.3119333333335,1084248.8711396935,1041.2727169861378,baseline
541.9214550724638,291.18513333333334,1014699.6640331907,1007.3230187150449,baseline
667.7550821256038,489.73533333333336,991498.4220384057,995.740137806248,baseline
710.5973531400966,552.6314333333332,1001617.2148805783,1000.8082807813784,baseline
781.6618202898552,652.0509333333334,1035842.3674156098,1017.7634142646364,baseline
717.2839091787441,557.5518666666668,1003910.271067019,1001.9532279837313,baseline
499.53096231884064,199.60859999999997,1063476.123644491,1031.2497872215495,baseline
637.8563159420291,445.8414000000001,989124.1530003543,994.5472100410087,baseline
641.2624536231884,450.84190000000007,989200.1486933663,994.5854154839424,baseline
548.0441028985508,303.9870333333334,1010766.8241534058,1005.3689990015636,baseline
717.0486140096621,557.2064333333334,1003826.3084455171,1001.9113276360923,baseline
558.0851739130435,324.98200000000014,1005026.5767159857,1002.5101379616995,baseline
669.6757927536232,492.5551,991782.6679184277,995.8828585322813,baseline
640.1854724637681,449.26079999999996,989170.7133248779,994.5706175656296,baseline
508.81931304347825,210.77426666666668,1046897.80587213,1023.1802411462655,baseline
