ae,mae,mse,rmse,algorithm
191.14466666666667,114.70333333333338,180355.05545634922,424.6822994384734,baseline
192.73206666666664,119.67533333333327,179268.17136925404,423.40072197535756,baseline
285.162357142857,258.6149999999997,193242.1144564285,439.59312375926504,baseline
208.75030476190486,150.9243333333335,175192.65857787302,418.5602209693045,baseline
189.07836190476186,108.64499999999998,181959.32570396818,426.5669064800599,baseline
196.00520000000003,133.0170000000001,177565.90408314284,421.38569515723105,baseline
265.7249047619047,231.69500000000002,185686.13650753972,430.9131426488866,baseline
281.3845,252.7383333333334,191693.90214563493,437.8286218894728,baseline
192.791,119.96999999999994,179230.24563642862,423.3559325631668,baseline
208.90590476190474,151.13000000000002,175185.64299992064,418.55184027778523,baseline
202.80153333333328,144.5296666666666,175791.44419882543,419.27490289644743,baseline
232.7204761904762,185.57366666666664,176942.83971806348,420.6457413525822,baseline
336.7590047619047,325.92066666666653,217917.22136849203,466.81604660561106,baseline
351.2798,344.56100000000004,225978.2166534286,475.3716616011398,baseline
193.69000000000003,123.18499999999995,178673.2361528571,422.69757055471365,baseline
249.79164285714282,213.47833333333332,180675.5023065873,425.05941032588294,baseline
187.4995428571428,97.15999999999997,185425.7434842857,430.61089568691324,baseline
209.28377142857144,151.93800000000005,175169.86589699998,418.53299260273377,baseline
231.24330952380947,183.01500000000001,176698.4559985873,420.35515459975903,baseline
189.96553333333335,108.8076666666667,181243.9543843016,425.7275588733969,baseline
423.60484285714284,429.6603333333333,274388.9064406825,523.8214451897541,baseline
226.7043095238095,183.3863333333333,176056.7494700159,419.59116943760375,baseline
197.2719,135.52499999999998,177091.9919009999,420.8229935507326,baseline
197.68248095238096,135.9246666666666,176959.5187490635,420.6655663933804,baseline
196.0032571428572,133.00900000000007,177566.6974157143,421.3866364939855,baseline
199.3926,142.12033333333324,176464.68589901592,420.0769999643112,baseline
321.06465714285724,304.5976666666668,209548.24746739687,457.76440170397353,baseline
197.92712857142857,136.82599999999996,176882.7594855714,420.57432100114175,baseline
187.55750476190477,97.15999999999997,185017.72606549205,430.13686899112946,baseline
187.46672380952378,96.09566666666663,185799.48653063498,431.0446456350374,baseline
243.44051428571433,204.675,179085.7135117143,423.1852000149749,baseline
234.79439047619047,189.6003333333334,177304.03747044445,421.0748596988954,baseline
214.3198571428572,163.335,175127.71433000002,418.48263324778486,baseline
203.3327238095238,146.14633333333327,175709.5170750159,419.17719054716696,baseline
220.88757142857148,174.53666666666678,175455.0759344445,418.8735798954674,baseline
251.02422857142852,215.6906666666666,181010.55228873013,425.45334913328645,baseline
198.5905,139.27000000000004,176682.79978499998,420.33653158510975,baseline
295.284119047619,273.3483333333333,197427.27634849207,444.32789283196263,baseline
215.00715238095233,164.52533333333326,175144.08766092063,418.50219552700156,baseline
252.0079571428572,217.4563333333334,181284.9800214445,425.77573911795923,baseline
194.75824761904758,127.70733333333322,178120.59560468257,422.0433574938511,baseline
220.43437142857147,173.57533333333336,175420.17047044443,418.83191195328516,baseline
187.55214285714283,97.15999999999997,185055.12519928574,430.18034032169084,baseline
250.6280999999999,214.9796666666666,180901.80643001586,425.3255299532534,baseline
206.223880952381,151.23833333333317,175358.37535039682,418.75813466773013,baseline
191.2878666666667,115.41933333333338,180251.8369645397,424.560757683208,baseline
191.35773333333339,115.57500000000002,180201.84926092063,424.50188369537375,baseline
192.37833333333333,117.90666666666667,179499.46091992065,423.6737670896331,baseline
187.65071428571432,98.19499999999994,184412.57815285714,429.4328563965002,baseline
205.06188571428575,149.59400000000002,175479.02681,418.9021685429666,baseline
185.81032654877603,84.13375575448299,192023.1856177342,438.204502050965,bo_3_GP_PI
188.526770556785,99.5179239865453,189122.6857400041,434.8823815010262,bo_3_GP_PI
187.91837241317367,91.54499999999996,190898.97780182993,436.91987572303225,bo_3_GP_PI
191.78041764878844,84.43848088451344,195882.6318495544,442.58629875941074,bo_3_GP_PI
205.2507464385069,149.37033333333372,176087.89722301753,419.6282845841275,bo_3_GP_PI
199.8645677885893,143.29500000000002,176155.86164906583,419.7092584743227,bo_3_GP_PI
211.1140305718383,91.89885526270447,212870.25773582456,461.3786489813162,bo_3_GP_PI
184.8633568040642,88.99506639584678,187667.13654709762,433.2056515641245,bo_3_GP_PI
