ae,mae,mse,rmse,algorithm
0.07037395942082667,0.06375618840740749,0.007433769081662312,0.08621930805603993,baseline
0.0683956444283414,0.05772473074074075,0.007236881231675108,0.08506986088900761,baseline
0.0658599960171766,0.06241075629629622,0.007101487596799656,0.08427032453242159,baseline
0.06583027279280733,0.060905928407407384,0.00713216759815807,0.0844521615955333,baseline
0.0766809133252818,0.06158096122222223,0.00847757313518513,0.09207373748895573,baseline
0.06585004343317233,0.061724027999999986,0.007110823732914038,0.08432570031084259,baseline
0.06703294757648952,0.05633637714814815,0.007118762653747237,0.08437276014062381,baseline
0.076138613835212,0.060084214629629595,0.008367099640687792,0.09147185163036656,baseline
0.07007611053193771,0.06286264174074069,0.007400009633483446,0.08602330866389322,baseline
0.06627274898013955,0.05938074940740745,0.007064700906969284,0.08405177515656219,baseline
0.06594518622920019,0.06475284914814816,0.00737270751589988,0.08586447179072308,baseline
0.0675730859742351,0.05458003725925925,0.007163083632710451,0.08463500240863972,baseline
0.06582176648201825,0.06149286385185182,0.007142495963773789,0.08451328868156645,baseline
0.06846256011111111,0.05794459655555556,0.007242780649624988,0.08510452778568828,baseline
0.06656887938647343,0.058544455814814766,0.007630883666417114,0.08735492926227525,baseline
0.06606821911969943,0.06305499525925923,0.007435654564040775,0.08623024158635284,baseline
0.0669841453837896,0.056801012592592626,0.007741586879341882,0.08798628801888328,baseline
0.06594736778582933,0.06472274366666658,0.007373773452568375,0.08587067865440669,baseline
0.06791514784702093,0.05614595625925922,0.007197359357242093,0.0848372521787575,baseline
0.0670769911916264,0.056133776518518586,0.007121914304356659,0.08439143501775911,baseline
0.06576077092753625,0.06678348096296305,0.007266691397472747,0.0852448907411626,baseline
0.07313220787761676,0.06463195511111114,0.007822265866888377,0.08844357448050354,baseline
0.0659908617928073,0.06412252637037025,0.007395403515235369,0.08599653199539717,baseline
0.06588999328019325,0.06448056744444453,0.007079053834624189,0.08413711330099333,baseline
0.06598729515458937,0.06347760996296292,0.007063992673685397,0.08404756197347664,baseline
0.06678755289640366,0.057245212814814705,0.00709892165057212,0.08425509866217071,baseline
0.06903293224798714,0.05973310688888889,0.007294361784731872,0.08540703592053685,baseline
0.06780596169082123,0.05565126555555555,0.00718600135944981,0.0847702858285249,baseline
0.06580052014814816,0.06295886088888891,0.0071713028629261134,0.0846835454083384,baseline
0.06598437980193239,0.06354466307407403,0.007064270745074669,0.08404921620737857,baseline
0.06579362262426196,0.06343479003703706,0.007181579108588687,0.08474419808216187,baseline
0.06577353956468064,0.06482052114814818,0.0072140795272250735,0.08493573763278373,baseline
0.06920981379119699,0.06026375151851854,0.007310896370462647,0.08550377986067427,baseline
0.06577535610198604,0.0646951800740741,0.007210981845962784,0.08491750023383157,baseline
0.06575644804186798,0.06599983622222222,0.0072447637390466975,0.08511617789261157,baseline
0.07810839855072464,0.06552082044444446,0.008789789995754516,0.09375387989707154,baseline
0.06581133492753623,0.06689555148148146,0.00730149711228035,0.0854487981909655,baseline
0.06578439220665593,0.06407168885185194,0.007196039764522535,0.08482947462128088,baseline
0.06600141008534621,0.06315296655555558,0.007062773528818461,0.08404030895242152,baseline
0.06611580021202362,0.06239837618518512,0.007461544365890047,0.08638023133732653,baseline
0.06692781536661299,0.056880994518518524,0.007110697546698975,0.08432495210018785,baseline
0.06603394537037037,0.06252635033333337,0.007061016449478036,0.08402985451301244,baseline
0.0721435385319377,0.06532470351851838,0.0076672669316079686,0.08756293126436533,baseline
0.07597445403918408,0.06017798640740751,0.008334541574436713,0.09129371048674007,baseline
0.0661820135426731,0.06048300955555558,0.007060742399209049,0.08402822382514728,baseline
0.06583336572678478,0.06069251596296299,0.007128582960810968,0.0844309360413052,baseline
0.0670906203220612,0.0560710825185185,0.0071229062031214424,0.08439731158704904,baseline
0.07307261432206119,0.0648107357777778,0.00781242476684946,0.08838792206432652,baseline
0.06963701024798713,0.061545340888888966,0.00735315250828529,0.08575052482804574,baseline
0.06803462828234033,0.05353750851851846,0.008063839614464007,0.0897988842606856,baseline
0.06279618512904397,0.04980219129782548,0.006408557959424961,0.08005346937781622,bo_3_GP_LCB
