ae,mae,mse,rmse,algorithm
0.0662484979715113,0.0760527302790987,0.00549769911078861,0.07414647065632059,baseline
0.06275852437745699,0.06665394364603067,0.005262340039592089,0.07254198811441612,baseline
0.06521595142871826,0.07237092976581849,0.005396929377924038,0.0734637963756573,baseline
0.059820908707174034,0.05440842231016213,0.005353874276827491,0.0731701734098498,baseline
0.06278068560636108,0.0667438921633472,0.005262777239249522,0.07254500147666634,baseline
0.06401370690551281,0.07174653878008974,0.0053125693288593135,0.0728873742760659,baseline
0.05814152139652908,0.04365750546305891,0.005681469266488576,0.07537552166644404,baseline
0.0595718867842152,0.053086690565226746,0.005381686379022627,0.07335997804677034,baseline
0.07226677050169342,0.07307697474696495,0.006165846284740866,0.07852290293118859,baseline
0.08074180629430093,0.07675705707878788,0.007659283825242782,0.08751733442720237,baseline
0.060741422640219735,0.05846688365371472,0.005290310754729471,0.07273452244106282,baseline
0.05982747262834858,0.03845929858116681,0.006512994822746845,0.08070312771353316,baseline
0.06404910355080995,0.07187508449195829,0.005314508356316139,0.07290067459438314,baseline
0.06751988924425033,0.07573196720121939,0.005618065532100721,0.07495375595726154,baseline
0.059415567147340316,0.05225699403104467,0.0054009300259522715,0.0734910200361396,baseline
0.06168877014785984,0.06231200000825393,0.00526047881248703,0.07252915836053132,baseline
0.060286086080197566,0.05656746931637474,0.005315958410691486,0.0729106193273071,baseline
0.05823137758948007,0.04591956309383993,0.005593339019603553,0.07478862894587354,baseline
0.06507745437859361,0.07186796679431318,0.005385268219185658,0.07338438675348904,baseline
0.0615328240692851,0.06167904239521532,0.005263356389105956,0.07254899302613342,baseline
0.06088523995903007,0.05905061277123902,0.0052838781853380545,0.07269028948448379,baseline
0.06525069540382178,0.07249710525435238,0.00539993412900662,0.07348424408678789,baseline
0.05830878733477039,0.0411753078094691,0.0058297276410866255,0.07635265313718068,baseline
0.059935143017118955,0.05495313122621309,0.005343429086857963,0.07309876255353412,baseline
0.05909974738589278,0.05058071991259239,0.0054440095458284845,0.07378353167088496,baseline
0.062289209896341964,0.06474907898738724,0.005256881190502205,0.07250435290727175,baseline
0.06607930704179432,0.07550627383435787,0.005481029439189481,0.07403397489794453,baseline
0.06989719470789435,0.07145186842603302,0.005865124562682129,0.07658410123963151,baseline
0.059160338253443204,0.050902317594206214,0.005435308963696641,0.07372454790432181,baseline
0.06105555162923458,0.059741877785598474,0.00527714195231729,0.0726439395429329,baseline
0.06336085444617491,0.06909869510141514,0.0052799797948317306,0.07266346946596845,baseline
0.06457070672493226,0.07212449103701829,0.0053469134205835185,0.07312259172501696,baseline
0.06288885430834253,0.06718292983609547,0.0052651434505869435,0.07256130821992492,baseline
0.05856338467190558,0.04773387166142962,0.005530048957664125,0.0743642989455567,baseline
0.05947182408807585,0.05255558856264103,0.005393845960608245,0.07344280741235486,baseline
0.061283160929498634,0.060665703769023194,0.005269631524311048,0.07259222771282782,baseline
0.058418623998732204,0.0406576473875464,0.005904596110284148,0.07684136978401769,baseline
0.06970581165400601,0.07099650874609176,0.00584286695507396,0.07643864830747572,baseline
0.06253270996978554,0.06573740281489354,0.0052588076316491235,0.0725176366937666,baseline
0.05909987727452107,0.0505814093214656,0.0054439906731556355,0.07378340377859804,baseline
0.06702697816459882,0.07699772860402987,0.005571541100949334,0.07464275652030365,baseline
0.0651455803808538,0.07211537174988969,0.0053909410581891495,0.07342302811917491,baseline
0.07603251110036521,0.06997106684143722,0.006741572352756658,0.08210707857886954,baseline
0.06305483741135472,0.06785662596008607,0.00526952400760712,0.07259148715660205,baseline
0.06227827041861339,0.06470467757778309,0.0052568404977154865,0.07250407228366891,baseline
0.05866417584580855,0.048268840199837626,0.005512643986520354,0.07424718167392183,baseline
0.06702246979954678,0.07701017169157354,0.005571099646601456,0.07463979934727488,baseline
0.061427875965684275,0.06125307656295309,0.0052657439968142655,0.07256544630066203,baseline
0.059305482744153364,0.05167269989105239,0.005415308095147614,0.07358877696461338,baseline
0.06215547611960829,0.06420627718770355,0.005256654258792222,0.07250278793806637,baseline
0.05151754338484267,0.036397471269874804,0.005278956545289465,0.07265642810715006,bo_3_GP_LCB
0.03898386635707838,0.02558428259428197,0.0039955685272758945,0.0632105096267693,bo_3_GP_LCB
0.06427820473590974,0.03459853101731897,0.008702471377114865,0.09328703756211183,bo_3_GP_LCB
0.03893353930729263,0.023292755488243222,0.0040133185959357835,0.06335075844799164,bo_3_GP_LCB
0.04120596033754631,0.017272854328405418,0.004891010243652777,0.06993575797582219,bo_3_GP_LCB
0.05088593746053282,0.026614272609572,0.005735109201805107,0.0757305037736123,bo_3_GP_LCB
0.059242749512263805,0.042435446469592075,0.00650567627715126,0.0806577725774228,bo_3_GP_LCB
0.060689311975710085,0.03303967155070925,0.007993645923388835,0.08940719167599906,bo_3_GP_LCB
0.037475899408996136,0.02354366110189904,0.003906717991715282,0.06250374382159266,bo_3_GP_LCB
0.03849482718332637,0.02376464345495416,0.0036163704860708848,0.06013626598044548,bo_3_GP_LCB
0.06096112986772983,0.030755968670657052,0.00824516171510507,0.09080287283508749,bo_3_GP_LCB
0.06619859734063417,0.03111964304211462,0.010473248907264502,0.10233889244693097,bo_3_GP_LCB
0.0371141622097275,0.01699504430268528,0.004002418940716153,0.06326467371856234,bo_3_GP_LCB
0.06655413638930874,0.03086158650690385,0.01099734830763369,0.10486824260772987,bo_3_GP_LCB
0.03974907810916534,0.02552931807943687,0.004014221858545533,0.06335788710607018,bo_3_GP_LCB
0.03700391461572614,0.023101258396419855,0.0039030505099322405,0.06247439883610118,bo_3_GP_LCB
0.03789040264878612,0.02114291523772166,0.0043205248595764075,0.06573069952142915,bo_3_GP_LCB
0.040389041449617635,0.023050877331210196,0.004094328985515218,0.06398694386759864,bo_3_GP_LCB
0.04967918656380307,0.023597112932723152,0.00595265745619471,0.07715346690975533,bo_3_GP_LCB
0.0452933751891263,0.023132572620595093,0.005256082511661103,0.07249884489880581,bo_3_GP_LCB
0.03542363357065134,0.016707269865001484,0.004024058051322867,0.06343546367232501,bo_3_GP_LCB
0.06066786161432011,0.03148815877880595,0.007628018763556054,0.0873385296622061,bo_3_GP_LCB
0.04937001472525089,0.035909846616136276,0.005049877816735448,0.07106249233411004,bo_3_GP_LCB
0.05625555710399266,0.030772937818641988,0.006740612701537191,0.08210123447023919,bo_3_GP_LCB
0.058970003430434306,0.03139792057037655,0.00757267522325106,0.0870211194093196,bo_3_GP_LCB
0.0633977919296475,0.027124750586631496,0.009626059195115562,0.09811248236139763,bo_3_GP_LCB
0.0466807578135834,0.032378711973373886,0.004372436366140198,0.06612440068643495,bo_3_GP_LCB
0.06242914615104381,0.038765063401664746,0.007921427250329367,0.08900240025038295,bo_3_GP_LCB
