ae,mae,mse,rmse,algorithm
42.86439414929421,20.036526881221704,2647.580955246237,51.454649500761704,baseline
45.275087691830684,32.83174645314609,2302.709190325998,47.986552182106166,baseline
48.95704671952038,51.01297038949029,2407.941819673697,49.070783768691705,baseline
44.674193854279345,29.642386853835113,2358.03600920975,48.55961294336838,baseline
49.56407216086013,54.23487465506277,2498.636369797178,49.98636183797714,baseline
47.7091060294791,45.75076686066452,2286.7033911418675,47.81948756670096,baseline
45.29612105471828,32.943385071549436,2301.141079162472,47.97021033060489,baseline
44.71280272064207,29.847310836837266,2353.86954632471,48.51669348095262,baseline
46.53114083284287,39.498490047749236,2252.76721607761,47.4633249580938,baseline
44.08691044227218,26.52526720548937,2431.7677094358,49.312956810921406,baseline
47.09766152832212,42.5054075852929,2259.329667579519,47.53240649892996,baseline
44.67833438055467,29.664363493296456,2357.5851651354274,48.55497055024776,baseline
47.709085832352,45.750659660528456,2286.7021390463874,47.81947447480354,baseline
45.26318797609861,32.768586423491165,2303.6073962649534,47.99591020352623,baseline
45.86905472872021,35.98434072586742,2268.0137585208827,47.62366804983508,baseline
47.702602679695396,45.7162490810434,2286.30141193181,47.81528429207349,baseline
47.08483149092329,42.437309694483766,2258.9809198204284,47.52873783113148,baseline
47.711424826575495,45.76307432217624,2286.8472948431513,47.82099219843887,baseline
44.698920836426545,29.773630066770238,2355.3579351103713,48.53202999164955,baseline
47.12717161641531,42.66203805286449,2260.1670139718344,47.54121384621804,baseline
46.483953533344675,39.248034381181924,2253.036436325204,47.46616096046955,baseline
45.90235784981019,36.16110344549882,2266.656927527173,47.609420575419456,baseline
46.49832417589136,39.324309330083466,2252.9411610970337,47.46515733774653,baseline
45.89922407163837,36.144470315202256,2266.781940012676,47.6107334538408,baseline
48.330013146519434,48.2930820782079,2336.0569733121556,48.33277328389253,baseline
47.09728754179807,42.50342257989604,2259.319370594343,47.532298183386246,baseline
46.52941265744127,39.48931742446378,2252.774862731577,47.46340551131552,baseline
45.29235591801078,32.92340088440958,2301.419951704176,47.973116968820946,baseline
45.889993449218885,36.09547701159117,2267.1533826885848,47.614634123225024,baseline
45.89683004494685,36.13176355814725,2266.877815192584,47.61174030837965,baseline
47.71309752073065,45.77195246807664,2286.951289720687,47.82207952108196,baseline
48.29292809016411,48.48991814655536,2332.4992756765014,48.29595506537272,baseline
45.8988277455189,36.14236673810663,2266.797789643891,47.61089990373939,baseline
45.91575750421743,36.23222468812189,2266.1286305402496,47.60387201205643,baseline
45.304245537779984,32.98650732780003,2300.542044019949,47.96396609977066,baseline
42.89012005748127,20.17307208621454,2642.172147446315,51.40206364968546,baseline
