ae,mae,mse,rmse,algorithm
0.11011236119431032,0.11558243425925935,0.01614474008242054,0.1270619537171554,baseline
0.10011231321095009,0.09433145533333337,0.014284260233438751,0.11951677804157353,baseline
0.08822610352334945,0.08367800081481486,0.014074535616120029,0.11863614801619289,baseline
0.09085041000268386,0.08565976981481488,0.01364706985882199,0.11682067393583205,baseline
0.10116122466022548,0.0936374328148149,0.01442795329535163,0.12011641559483713,baseline
0.08987533861191627,0.08639401600000002,0.013689168467393998,0.11700071994391316,baseline
0.09659629637681157,0.08522642177777767,0.013902697257005693,0.11790969958831077,baseline
0.10081748297906602,0.09275898185185183,0.014379280186431882,0.11991363636564392,baseline
0.10414026592109504,0.10125053825925934,0.01491442647183731,0.12212463499162365,baseline
0.09665790797101453,0.08539646977777782,0.01390828111688253,0.11793337575462906,baseline
0.08903507718357488,0.08707651522222226,0.013794485068853016,0.1174499257933057,baseline
0.09437566870638751,0.0797298671851851,0.013740047756489107,0.11721794980500685,baseline
0.08915678661943104,0.08587680792592589,0.013765709872640933,0.11732736199472368,baseline
0.09923020044283413,0.09210129203703699,0.014174541900183685,0.11905688514396673,baseline
0.08835203516908215,0.08078157296296296,0.014204246200879532,0.11918156820951607,baseline
0.08933263689694042,0.07206257774074074,0.01489566183980156,0.12204778506716768,baseline
0.08870698554911434,0.0739250158518519,0.014578174956144557,0.12074011328528957,baseline
0.0891658120805153,0.08578784266666672,0.013763690671915274,0.11731875669267584,baseline
0.09621743770799789,0.08418077185185191,0.01386963248356877,0.1177694038516319,baseline
0.09603548424584007,0.08418178859259257,0.01385452986421576,0.11770526693489872,baseline
0.091793594229737,0.08868343851851851,0.013636153951277603,0.11677394380287755,baseline
0.10268162242834138,0.09752289377777773,0.014661748458892532,0.12108570707929377,baseline
0.08822066069404189,0.08380318588888896,0.01406930771999781,0.11861411265105772,baseline
0.09207919849114332,0.08752422122222225,0.013638630042635073,0.11678454539293748,baseline
0.08948711397745575,0.08480656407407411,0.013714857231224025,0.1171104488558729,baseline
0.0889245624573269,0.0881658746666667,0.013823107168378613,0.1175717107487112,baseline
0.09176596682984434,0.08879557325925935,0.013636056993891681,0.11677352865222358,baseline
0.09500117085346217,0.0814562531111111,0.013778262061908384,0.11738084197137276,baseline
0.0882674541884058,0.08272693551851856,0.014115276959273873,0.11880773105852108,baseline
0.09198361918035429,0.08791216077777775,0.013637502193525343,0.11677971653298934,baseline
0.09029980193934514,0.0855641578148148,0.013666992108066819,0.11690591134783056,baseline
0.08849003046484166,0.08665621474074081,0.013958658349616166,0.11814676614116938,baseline
0.0962411137278583,0.08424611766666668,0.013871634742126762,0.11777790430351001,baseline
0.0892548242345679,0.08491043714814817,0.013744624529527686,0.11723747067182781,baseline
0.09189381664841656,0.08827665340740737,0.013636716767192221,0.1167763536303143,baseline
0.11382669641814279,0.1153149871481482,0.017108156498937353,0.13079815174128934,baseline
0.09251899083628556,0.0857391817037037,0.013647698506760689,0.11682336455846788,baseline
0.088531722510467,0.07664876411111116,0.014418376066279683,0.12007654253133575,baseline
0.09018083708910359,0.08604701514814811,0.013672608777214464,0.11692993105793942,baseline
0.08829950122222223,0.08477814077777779,0.014029664886718883,0.11844688635299318,baseline
0.08844776069994634,0.08623955562962965,0.013973802555739672,0.11821083941728724,baseline
0.088346761517445,0.08524399225925927,0.014011394009412488,0.11836973434713997,baseline
0.09955041042834138,0.09291960644444441,0.01421319495657195,0.11921910483044214,baseline
0.10409446025442835,0.10113347933333339,0.014906068992839892,0.12209041318973367,baseline
0.09379166622920022,0.0808499968518519,0.013705168351662246,0.11706907512943905,baseline
0.0884742199404187,0.07797132322222228,0.014346134664790641,0.11977535082307478,baseline
0.10415463950080518,0.10128727074074079,0.014917054654373018,0.12213539476487976,baseline
0.09886999983413847,0.09118077937037034,0.014132662124444103,0.11888087366958616,baseline
0.09817542612399359,0.0894057576666667,0.014056690115534924,0.11856091310180993,baseline
0.08990497848040796,0.06812788559259261,0.015190450963605799,0.1232495475188684,baseline
0.11106783718786838,0.09343976864276721,0.0224023222389342,0.14967405332566563,bo_3_GP_LCB
0.11083555412114725,0.10359645928047606,0.020754233902355344,0.14406329824891329,bo_3_GP_LCB
0.11902828979268053,0.10349758224306416,0.025508820947398057,0.15971481129625412,bo_3_GP_LCB
0.13601763961349164,0.10037649849671637,0.029012933279199984,0.17033183284166228,bo_3_GP_LCB
0.1219309602145153,0.10571486690349424,0.025826723969916785,0.16070695059616055,bo_3_GP_LCB
0.12049165237784483,0.1054059021385782,0.023844022582035163,0.15441509829688016,bo_3_GP_LCB
0.12214937977988385,0.10852923050337399,0.026933377662214434,0.16411391672315434,bo_3_GP_LCB
0.11244995823297664,0.07871719406980254,0.02382586950349244,0.1543563069767233,bo_3_GP_LCB
0.11704337971514579,0.09774147966823887,0.023369610728026305,0.15287122269422163,bo_3_GP_LCB
0.1068060836806192,0.08873981084657767,0.02025252662939713,0.1423113721014492,bo_3_GP_LCB
0.1165343368791252,0.09621374619513162,0.024454268032364695,0.15637860477816234,bo_3_GP_LCB
0.11865149112124289,0.10028308182215073,0.023623838543161604,0.1537004832235787,bo_3_GP_LCB
0.10411395375533006,0.09151111297865666,0.018702255783492727,0.13675619102436543,bo_3_GP_LCB
0.13118208507561754,0.095321480174965,0.02932106919009022,0.17123396038779873,bo_3_GP_LCB
0.1059658962383144,0.07803309913584022,0.020562347030776588,0.14339577061676745,bo_3_GP_LCB
0.1288463586794625,0.1284402874403292,0.029646419979132796,0.17218135781533608,bo_3_GP_LCB
0.12480719830539574,0.11916843865899607,0.026362537953437824,0.16236544568792285,bo_3_GP_LCB
0.11297762978772741,0.10134380978797841,0.02230692629463398,0.14935503437994307,bo_3_GP_LCB
0.12499793896500971,0.10167359978015084,0.028732610995392822,0.16950696444510127,bo_3_GP_LCB
0.099524548474139,0.07950017672525528,0.018247200167704317,0.13508219781934375,bo_3_GP_LCB
0.1194217595613817,0.10149859764839059,0.025890185008903076,0.16090427281120623,bo_3_GP_LCB
0.12653102941209565,0.11101571264578486,0.028584665026001817,0.1690700003726321,bo_3_GP_LCB
0.12587214952099596,0.09076076103211123,0.02660261814319526,0.16310309053845443,bo_3_GP_LCB
0.10039723539546541,0.07642492792098671,0.0183094527034429,0.13531242627136245,bo_3_GP_LCB
0.10594163126579219,0.0844346950394978,0.02071824856373075,0.14393834987150142,bo_3_GP_LCB
0.11196398676638265,0.07997627912472471,0.023077357744094217,0.15191233572061952,bo_3_GP_LCB
0.12751318380080942,0.12295903583001172,0.028951597673843987,0.1701516901880319,bo_3_GP_LCB
0.13179636490441277,0.10313476928985685,0.03144451064865932,0.17732600105077462,bo_3_GP_LCB
0.13063850970434115,0.10439659466935663,0.030313321623305665,0.1741072130134351,bo_3_GP_LCB
0.12021079893232131,0.09390994897523319,0.025973695570931835,0.16116356775317378,bo_3_GP_LCB
0.12191090636903357,0.10049024981793914,0.025968220938466593,0.16114658214950323,bo_3_GP_LCB
0.12229514969026703,0.10763159607406492,0.026350829175248097,0.1623293848175619,bo_3_GP_LCB
0.12916578503751103,0.13076107749098334,0.029667041702950887,0.17224123113514628,bo_3_GP_LCB
0.13226245676913237,0.1080305711417966,0.032197373867186976,0.17943626686706057,bo_3_GP_LCB
0.13766994957873405,0.09578244942721437,0.03501490445317121,0.18712269892552108,bo_3_GP_LCB
0.12606641768575924,0.10038868755565866,0.026141302865813065,0.16168272284264965,bo_3_GP_LCB
0.13011318176631462,0.10830943607780241,0.030602550655193152,0.17493584725605313,bo_3_GP_LCB
0.12777006260581933,0.10406314361922792,0.027910339077628955,0.16706387723750743,bo_3_GP_LCB
0.12600165015939302,0.12287367553749126,0.02809376742310354,0.16761195489315056,bo_3_GP_LCB
0.13029522894016124,0.10613884537005003,0.03143063789076146,0.17728688019918862,bo_3_GP_LCB
0.10980383553038957,0.08011327801559359,0.020938235100337644,0.14470050138246807,bo_3_GP_LCB
0.10398736410882713,0.09324808455911138,0.020070200025268024,0.14166933339741536,bo_3_GP_LCB
0.1055189061915878,0.09400622770331701,0.019485862265950882,0.13959177005092702,bo_3_GP_LCB
0.10397479514117326,0.09217260304545771,0.020218492559367272,0.14219174574977014,bo_3_GP_LCB
0.11385941019451769,0.1054168309589063,0.022595640466685073,0.15031846349229716,bo_3_GP_LCB
0.10916229586089461,0.09779596285142034,0.02159180133816171,0.1469414895057271,bo_3_GP_LCB
0.11958430039311019,0.11037125068555659,0.02488388854415436,0.15774627901841096,bo_3_GP_LCB
0.116217110785187,0.07950211752716951,0.026585844770547106,0.16305166288801567,bo_3_GP_LCB
0.1251167429921359,0.10527234836799837,0.025688540442971808,0.16027645005730506,bo_3_GP_LCB
0.12097429086181435,0.10779625535178528,0.026169868174906536,0.1617710362670232,bo_3_GP_LCB
0.10228383753448478,0.07838097464080612,0.01802284748788595,0.1342491992076152,bo_3_GBRT_LCB
0.09335804559468161,0.06148609571786223,0.01739819919392859,0.13190223346831012,bo_3_GBRT_LCB
0.1720984535111732,0.18222752513539447,0.037890554753883664,0.19465496334253504,bo_3_GBRT_LCB
0.12666565554976322,0.09578084200418768,0.025671199790248865,0.1602223448531723,bo_3_GBRT_LCB
0.0997931313921825,0.07952948698551199,0.01766277044811786,0.13290135608080852,bo_3_GBRT_LCB
0.1324185762826124,0.11532032764981892,0.027345000942633903,0.1653632393932639,bo_3_GBRT_LCB
0.08672575087633318,0.0546795707930231,0.015282341782243285,0.12362176904673094,bo_3_GBRT_LCB
0.10642828204564381,0.07718595699488146,0.021400873699614294,0.14629037459660255,bo_3_GBRT_LCB
0.08247760366504822,0.05769461226594841,0.01508328741793863,0.12281403591584567,bo_3_GBRT_LCB
0.11627129650823173,0.0879685511191366,0.022069459184201834,0.14855793208106335,bo_3_GBRT_LCB
0.10117374684517937,0.06726343577858729,0.018118442425543717,0.13460476375501618,bo_3_GBRT_LCB
0.11528491993868757,0.08016274694859557,0.023507437693459032,0.15332135432958788,bo_3_GBRT_LCB
0.13078855328218353,0.10209150427507224,0.026001099787710903,0.16124856522682893,bo_3_GBRT_LCB
0.09108982600081589,0.0594522014905918,0.016026061676593626,0.1265940823126959,bo_3_GBRT_LCB
0.10981473981478933,0.08350324730137007,0.02067406797097837,0.14378479742649558,bo_3_GBRT_LCB
0.09675551449170257,0.0668931363235169,0.016902506479927453,0.13000963994999545,bo_3_GBRT_LCB
0.10384341314287365,0.06281078357509612,0.020170899746465562,0.14202429280396212,bo_3_GBRT_LCB
0.0985634364361607,0.06555280645906081,0.018469386463312025,0.1359021208933548,bo_3_GBRT_LCB
0.14835493667917932,0.15132101425730315,0.030042176906967314,0.1733267922364206,bo_3_GBRT_LCB
0.08921982614492958,0.06554253343077593,0.015832671692861407,0.12582794480107115,bo_3_GBRT_LCB
0.15808717719904586,0.16111414897159293,0.03559050752268085,0.18865446594947297,bo_3_GBRT_LCB
0.11742528191191591,0.10101861899660425,0.021345460875845216,0.14610085857326513,bo_3_GBRT_LCB
0.09879935059923776,0.06584263518778039,0.017403607647691596,0.13192273362726986,bo_3_GBRT_LCB
0.12928999256013748,0.11053860378296937,0.025968435141956164,0.16114724677125628,bo_3_GBRT_LCB
0.10710396296978948,0.060646627640450895,0.021269202878064223,0.14583964782618006,bo_3_GBRT_LCB
0.12391662260737331,0.10572018263174926,0.02492006449241476,0.15786090235525313,bo_3_GBRT_LCB
0.10096089271725103,0.08016501511560203,0.018539053990935427,0.13615819472560375,bo_3_GBRT_LCB
0.14728169043396963,0.1463193937923798,0.030432916708198598,0.17445032733760804,bo_3_GBRT_LCB
0.10951317291366473,0.08603872789891631,0.019757895665433633,0.1405627819354527,bo_3_GBRT_LCB
0.10877800392680749,0.08992287222403583,0.02140648741717397,0.14630956023846825,bo_3_GBRT_LCB
0.11756333654779066,0.09569819314723282,0.022810075318696662,0.15103004773453746,bo_3_GBRT_LCB
0.11422998774071018,0.10142067792205967,0.020907892782240686,0.14459561812946023,bo_3_GBRT_LCB
0.09317025986982191,0.06460779155453261,0.017019899913751614,0.13046033847017113,bo_3_GBRT_LCB
0.14786632556167997,0.12585989745279602,0.03179996013129769,0.17832543321494468,bo_3_GBRT_LCB
0.08835206403244471,0.06210567594663702,0.015653533264896793,0.1251140810016874,bo_3_GBRT_LCB
0.09786460764862476,0.07859985902067884,0.01734444197890472,0.13169829907369615,bo_3_GBRT_LCB
0.0968456893095948,0.07204466704430379,0.015897880765413652,0.12608679853741092,bo_3_GBRT_LCB
0.09821521944050672,0.07611697208078266,0.017211252361657887,0.13119166269873206,bo_3_GBRT_LCB
0.09610016765070357,0.06890835829064582,0.01701491931048551,0.13044124850094585,bo_3_GBRT_LCB
0.11600122839315319,0.07875867238580908,0.0233380750129241,0.15276804316650816,bo_3_GBRT_LCB
0.10359662743460867,0.07578829960162908,0.01841091092915434,0.13568681192051915,bo_3_GBRT_LCB
0.126637633919879,0.10843117211664594,0.024784682251771384,0.15743151606896055,bo_3_GBRT_LCB
0.09650705936558503,0.06523070209185897,0.016659012106066826,0.12906979548316805,bo_3_GBRT_LCB
0.11569643167884079,0.08920574112227145,0.021218015350867786,0.14566404961715085,bo_3_GBRT_LCB
0.11402444860052624,0.08937348858048272,0.022078034719347318,0.14858679187379784,bo_3_GBRT_LCB
0.12009934373086473,0.08980182058472053,0.02401024680761003,0.15495240174844024,bo_3_GBRT_LCB
0.12247364373325619,0.09300802213345793,0.02631435761588482,0.16221700778859416,bo_3_GBRT_LCB
0.16182196505551372,0.18606719234985042,0.033252293086945627,0.1823521129215278,bo_3_GBRT_LCB
0.11088579709874764,0.09135069304720866,0.019374548425021555,0.13919248695609096,bo_3_GBRT_LCB
0.10715479100807833,0.06415012405850018,0.02195130519021266,0.14815972863842813,bo_3_GBRT_LCB
0.11873601952552909,0.09111372859007971,0.022539167492816304,0.15013050154054738,bo_3_RF_LCB
0.11417094277973519,0.08209672359223169,0.022350146051549148,0.149499652345914,bo_3_RF_LCB
0.10437186004953629,0.07284954331104329,0.01933269761563836,0.13904207138718253,bo_3_RF_LCB
0.09622352803326613,0.06037153540046036,0.016756493001187294,0.12944687327698298,bo_3_RF_LCB
0.09396228248413661,0.06833322530173289,0.016156126835963795,0.12710675369925784,bo_3_RF_LCB
0.1208742861334892,0.07886340924214846,0.02500664792659672,0.15813490420080167,bo_3_RF_LCB
0.1600500014898148,0.1617024761638058,0.033770372202441376,0.18376716845628704,bo_3_RF_LCB
0.1301216485228523,0.11449058051992939,0.02647895986427403,0.162723568865343,bo_3_RF_LCB
0.10373012454069688,0.07729431944211335,0.01863379435381191,0.1365056568564538,bo_3_RF_LCB
0.09390313503027482,0.06661998808592773,0.01572909424216955,0.12541568578997425,bo_3_RF_LCB
0.11828180428343175,0.1044724618480927,0.021529338189005254,0.14672879127494118,bo_3_RF_LCB
0.08817151664819232,0.06128947229550716,0.015872442937262914,0.12598588388094484,bo_3_RF_LCB
0.08997457459454197,0.061801912902923806,0.013896312545741604,0.11788262189882615,bo_3_RF_LCB
0.0908280395034969,0.07375240708963804,0.014341901958046724,0.11975768016309736,bo_3_RF_LCB
0.08108866957812935,0.05237803076610484,0.01499448653187092,0.12245197643105202,bo_3_RF_LCB
0.10671626937465681,0.0704174722675538,0.021010912863160387,0.1449514155265839,bo_3_RF_LCB
0.09402711760447842,0.0657075457532677,0.01578553240169083,0.12564048870364533,bo_3_RF_LCB
0.10964989415737228,0.09421954006419636,0.018485677607779655,0.1359620447322695,bo_3_RF_LCB
0.10657387424014779,0.085129099449398,0.01897607301112775,0.137753667868147,bo_3_RF_LCB
0.12231736540871278,0.11256144355687187,0.022810734662311975,0.15103223054140455,bo_3_RF_LCB
0.10959842580704889,0.09312998138598766,0.01941104749768226,0.13932353533298766,bo_3_RF_LCB
0.10324484954527087,0.07800565547605431,0.0184099283080993,0.13568319095635722,bo_3_RF_LCB
0.11060212821876789,0.07818892308154085,0.021969745264556768,0.14822194596130753,bo_3_RF_LCB
0.10469278531911792,0.06939125761737225,0.021300218815069952,0.1459459448394163,bo_3_RF_LCB
0.10116797348355965,0.07201861543505167,0.017712423389623977,0.13308802872393888,bo_3_RF_LCB
0.12608028614635006,0.10650709420236887,0.02507572735304333,0.15835317285436162,bo_3_RF_LCB
0.10154532786131065,0.07576891761812493,0.01858089456203848,0.13631175503982948,bo_3_RF_LCB
0.10806855251699714,0.08357400271554766,0.019542777597610493,0.13979548489708277,bo_3_RF_LCB
0.09403241474937281,0.06314415255042466,0.015734590743495168,0.1254375970094101,bo_3_RF_LCB
0.10886985766413153,0.08659727420047711,0.020472646502597856,0.14308265619074123,bo_3_RF_LCB
0.10890328872907623,0.09474401910411079,0.01835308236948131,0.13547354859706492,bo_3_RF_LCB
0.12332197869189307,0.09368520456335541,0.023743024332722004,0.15408771635896876,bo_3_RF_LCB
0.12266777097064165,0.07951356729579065,0.02471864303968138,0.15722163667791206,bo_3_RF_LCB
0.09128468495916668,0.0639115301236036,0.014731746568169486,0.12137440656155435,bo_3_RF_LCB
0.09914293030291169,0.0686205765360435,0.01711114378757188,0.13080957070326268,bo_3_RF_LCB
0.09730428534223075,0.0745924234434091,0.016863801282193037,0.1298606995291225,bo_3_RF_LCB
0.08323379285322323,0.06110815428778202,0.013652982095168,0.11684597594768936,bo_3_RF_LCB
0.10003030636770387,0.0681501389016026,0.01819191897297221,0.13487742202819644,bo_3_RF_LCB
0.11602510744317165,0.07926709091087297,0.02406151942769486,0.15511775987195942,bo_3_RF_LCB
0.10167966966111913,0.08515321958448469,0.01756290128370491,0.1325250968070007,bo_3_RF_LCB
0.10518029493566788,0.07388752530592652,0.01967457691229469,0.14026609323815464,bo_3_RF_LCB
0.10312716178393544,0.08722276045391289,0.017025289533821108,0.130480992998295,bo_3_RF_LCB
0.1063719397023705,0.07736220767415136,0.019356663630383214,0.1391282272954817,bo_3_RF_LCB
0.09768694826638766,0.06390971845723592,0.017197858288609962,0.1311406050337193,bo_3_RF_LCB
0.08619112291760096,0.06230731061770273,0.014088977368091272,0.11869699814271324,bo_3_RF_LCB
0.0999529127581483,0.06313165105554294,0.016538495188388628,0.12860208080893804,bo_3_RF_LCB
0.10851228382391671,0.09076767248284623,0.018681587720282774,0.1366806047699628,bo_3_RF_LCB
0.10957840638172445,0.09023030807642207,0.019328014693308197,0.13902523041990686,bo_3_RF_LCB
0.1216198687841406,0.08630802096739648,0.024232602639329418,0.15566824544308777,bo_3_RF_LCB
0.09765405745776623,0.07498801598186644,0.016295819542956582,0.12765508036485107,bo_3_RF_LCB
0.0908660270539774,0.07059055029388894,0.016056468575349862,0.12671412145199076,bo_3_ET_LCB
0.09556897006337627,0.07506045215820106,0.01604832750564001,0.12668199361250995,bo_3_ET_LCB
0.10479259539235429,0.08488010867451054,0.0179648524747676,0.1340330275520463,bo_3_ET_LCB
