ae,mae,mse,rmse,algorithm
0.124632047989418,0.10484631851851822,0.023750820311318886,0.15411301149260204,baseline
0.12498153169312164,0.10497493407407388,0.02381427836777976,0.1543187557226268,baseline
0.12387339687830685,0.0995657659259257,0.024280362578853642,0.15582157289301646,baseline
0.12388329772486772,0.11041580740740742,0.02363103625228349,0.15372389616544166,baseline
0.12952134886772482,0.1108210437037036,0.025225429700487984,0.15882515449540097,baseline
0.12544516089947091,0.10535839999999991,0.02391693473625191,0.1546510094899219,baseline
0.12422828682539684,0.10714006666666653,0.023681688981856037,0.1538885602696186,baseline
0.1233923533015873,0.1040148088888887,0.02371797303192899,0.15400640581459263,baseline
0.12592532714285712,0.10535839999999991,0.024045458477892034,0.1550659810464308,baseline
0.12352275198941798,0.10769238074074072,0.02363081187529105,0.15372316635852595,baseline
0.12754645954497354,0.10278413333333336,0.024568512773086627,0.1567434616597663,baseline
0.12337059507936508,0.10025464518518545,0.023851835949766573,0.15444039610725743,baseline
0.12642259279365084,0.1035222444444443,0.024197195560621176,0.1555544777903265,baseline
0.1233999984126984,0.1044607999999998,0.02370728493486384,0.15397170173399993,baseline
0.13043029323809524,0.11454689037037047,0.02553854988431915,0.15980785301204428,baseline
0.12337059507936508,0.10274000000000005,0.023773704727721424,0.15418723918574267,baseline
0.12498136005291006,0.10497373259259268,0.023814244264092937,0.15431864522504382,baseline
0.12708201590476192,0.10611137111111085,0.026636129255512224,0.16320578805763056,baseline
0.12600155042328043,0.10535839999999991,0.024067938871147984,0.155138450653434,baseline
0.12362996739682539,0.0999735555555556,0.024094685234601943,0.15522462831201092,baseline
0.12353096333333333,0.09940939259259285,0.02399860396247203,0.15491482809102564,baseline
0.12393583656084654,0.10968026370370376,0.02363785275037767,0.1537460658045521,baseline
0.13033219795767198,0.11415983407407426,0.02550472937023072,0.15970200177277277,baseline
0.12409380867724867,0.0975230666666666,0.02444933518351377,0.15636283184796113,baseline
0.12548152502645502,0.10535839999999991,0.0239258773582919,0.15467991905315925,baseline
0.1327738263174603,0.12198482370370373,0.026324754667881676,0.16224905136203932,baseline
0.12340356988359785,0.1044607999999998,0.02370248820280272,0.15395612427832392,baseline
0.12337059507936506,0.1001594074074077,0.023854789684481105,0.15444995851239685,baseline
0.12408931673015873,0.10854741777777777,0.023660314304296503,0.1538190960326334,baseline
0.12364556447619048,0.11093970666666686,0.02361284204547302,0.15366470657074455,baseline
0.12347279910052911,0.10607722962962984,0.023648692852843548,0.15378131503158488,baseline
